scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
vasat-kötü,Ehliyetini alanların sürüşleri vasat.,Ehliyetini alanların sürüşleri kötü.,Ehliyetini alanların sürüşleri vasat değil.,Ehliyetini alanların sürüşleri kötü değil.,"Ehliyetini alanların sürüşleri vasat, hatta kötü.","Ehliyetini alanların sürüşleri vasat, belki de kötü.",Ehliyetini alanların sürüşleri vasat ama kötü değil.,"Ehliyetini alanların sürüşleri kötü değil, hatta vasat bile değil.","Ehliyetini alanların sürüşleri kötü değil, belki vasat bile değil.",Ehliyetini alanların sürüşleri kötü değil ama vasat.
vasat-kötü,Fas'a yapılacak olan tur vasat.,Fas'a yapılacak olan tur kötü.,Fas'a yapılacak olan tur vasat değil.,Fas'a yapılacak olan tur kötü değil.,"Fas'a yapılacak olan tur vasat, hatta kötü.","Fas'a yapılacak olan tur vasat, belki de kötü.",Fas'a yapılacak olan tur vasat ama kötü değil.,"Fas'a yapılacak olan tur kötü değil, hatta vasat bile değil.","Fas'a yapılacak olan tur kötü değil, belki vasat bile değil.",Fas'a yapılacak olan tur kötü değil ama vasat.
vasat-kötü,Az önce yanında geçtiğimiz restoranın şefi vasat.,Az önce yanında geçtiğimiz restoranın şefi kötü.,Az önce yanında geçtiğimiz restoranın şefi vasat değil.,Az önce yanında geçtiğimiz restoranın şefi kötü değil.,"Az önce yanında geçtiğimiz restoranın şefi vasat, hatta kötü.","Az önce yanında geçtiğimiz restoranın şefi vasat, belki de kötü.",Az önce yanında geçtiğimiz restoranın şefi vasat ama kötü değil.,"Az önce yanında geçtiğimiz restoranın şefi kötü değil, hatta vasat bile değil.","Az önce yanında geçtiğimiz restoranın şefi kötü değil, belki vasat bile değil.",Az önce yanında geçtiğimiz restoranın şefi kötü değil ama vasat.
vasat-kötü,Yumurta tüketenlerin sesleri vasat.,Yumurta tüketenlerin sesleri kötü.,Yumurta tüketenlerin sesleri vasat değil.,Yumurta tüketenlerin sesleri kötü değil.,"Yumurta tüketenlerin sesleri vasat, hatta kötü.","Yumurta tüketenlerin sesleri vasat, belki de kötü.",Yumurta tüketenlerin sesleri vasat ama kötü değil.,"Yumurta tüketenlerin sesleri kötü değil, hatta vasat bile değil.","Yumurta tüketenlerin sesleri kötü değil, belki vasat bile değil.",Yumurta tüketenlerin sesleri kötü değil ama vasat.
vasat-kötü,Voleybolcuların performansı vasatmış.,Voleybolcuların performansı kötüymüş.,Voleybolcuların performansı vasat değilmiş.,Voleybolcuların performansı kötü değilmiş.,"Voleybolcuların performansı vasatmış, hatta kötüymüş.","Voleybolcuların performansı vasatmış, belki de kötüymüş.",Voleybolcuların performansı vasatmış ama kötü değilmiş.,"Voleybolcuların performansı kötü değilmiş, hatta vasat bile değilmiş.","Voleybolcuların performansı kötü değilmiş, belki vasat bile değilmiş.",Voleybolcuların performansı kötü değilmiş ama vasatmış.
vasat-kötü,Orkestradaki yaylılar vasat.,Orkestradaki yaylılar kötü.,Orkestradaki yaylılar vasat değil.,Orkestradaki yaylılar kötü değil.,"Orkestradaki yaylılar vasat, hatta kötü.","Orkestradaki yaylılar vasat, belki de kötü.",Orkestradaki yaylılar vasat ama kötü değil.,"Orkestradaki yaylılar kötü değil, hatta vasat bile değil.","Orkestradaki yaylılar kötü değil, belki vasat bile değil.",Orkestradaki yaylılar kötü değil ama vasat.
vasat-kötü,Sahne performanslarında vasatsın.,Sahne performanslarında kötüsün.,Sahne performanslarında vasat değilsin.,Sahne performanslarında kötü değilsin.,"Sahne performanslarında vasatsın, hatta kötüsün.","Sahne performanslarında vasatsın, belki de kötüsün.",Sahne performanslarında vasatsın ama kötü değilsin.,"Sahne performanslarında kötü değilsin, hatta vasat bile değilsin.","Sahne performanslarında kötü değilsin, belki vasat bile değilsin.",Sahne performanslarında kötü değilsin ama vasatsın.
vasat-kötü,İş geliştirme müdürümüz vasat.,İş geliştirme müdürümüz kötü.,İş geliştirme müdürümüz vasat değil.,İş geliştirme müdürümüz kötü değil.,"İş geliştirme müdürümüz vasat, hatta kötü.","İş geliştirme müdürümüz vasat, belki de kötü.",İş geliştirme müdürümüz vasat ama kötü değil.,"İş geliştirme müdürümüz kötü değil, hatta vasat bile değil.","İş geliştirme müdürümüz kötü değil, belki vasat bile değil.",İş geliştirme müdürümüz kötü değil ama vasat.
vasat-kötü,Portakal toplayan makineler vasat.,Portakal toplayan makineler kötü.,Portakal toplayan makineler vasat değil.,Portakal toplayan makineler kötü değil.,"Portakal toplayan makineler vasat, hatta kötü.","Portakal toplayan makineler vasat, belki de kötü.",Portakal toplayan makineler vasat ama kötü değil.,"Portakal toplayan makineler kötü değil, hatta vasat bile değil.","Portakal toplayan makineler kötü değil, belki vasat bile değil.",Portakal toplayan makineler kötü değil ama vasat.
vasat-kötü,Marangozun son yaptığı dolap vasat.,Marangozun son yaptığı dolap kötü.,Marangozun son yaptığı dolap vasat değil.,Marangozun son yaptığı dolap kötü değil.,"Marangozun son yaptığı dolap vasat, hatta kötü.","Marangozun son yaptığı dolap vasat, belki de kötü.",Marangozun son yaptığı dolap vasat ama kötü değil.,"Marangozun son yaptığı dolap kötü değil, hatta vasat bile değil.","Marangozun son yaptığı dolap kötü değil, belki vasat bile değil.",Marangozun son yaptığı dolap kötü değil ama vasat.
vasat-kötü,Akademik alandaki başarılarınız vasat.,Akademik alandaki başarılarınız kötü.,Akademik alandaki başarılarınız vasat değil.,Akademik alandaki başarılarınız kötü değil.,"Akademik alandaki başarılarınız vasat, hatta kötü.","Akademik alandaki başarılarınız vasat, belki de kötü.",Akademik alandaki başarılarınız vasat ama kötü değil.,"Akademik alandaki başarılarınız kötü değil, hatta vasat bile değil.","Akademik alandaki başarılarınız kötü değil, belki vasat bile değil.",Akademik alandaki başarılarınız kötü değil ama vasat.
vasat-kötü,Yenilikçi kategorisinde yarışmaya katılan projeler vasat.,Yenilikçi kategorisinde yarışmaya katılan projeler kötü.,Yenilikçi kategorisinde yarışmaya katılan projeler vasat değil.,Yenilikçi kategorisinde yarışmaya katılan projeler kötü değil.,"Yenilikçi kategorisinde yarışmaya katılan projeler vasat, hatta kötü.","Yenilikçi kategorisinde yarışmaya katılan projeler vasat, belki de kötü.",Yenilikçi kategorisinde yarışmaya katılan projeler vasat ama kötü değil.,"Yenilikçi kategorisinde yarışmaya katılan projeler kötü değil, hatta vasat bile değil.","Yenilikçi kategorisinde yarışmaya katılan projeler kötü değil, belki vasat bile değil.",Yenilikçi kategorisinde yarışmaya katılan projeler kötü değil ama vasat.
vasat-kötü,Evrim ile ilgili çıkan son yazılar vasat.,Evrim ile ilgili çıkan son yazılar kötü.,Evrim ile ilgili çıkan son yazılar vasat değil.,Evrim ile ilgili çıkan son yazılar kötü değil.,"Evrim ile ilgili çıkan son yazılar vasat, hatta kötü.","Evrim ile ilgili çıkan son yazılar vasat, belki de kötü.",Evrim ile ilgili çıkan son yazılar vasat ama kötü değil.,"Evrim ile ilgili çıkan son yazılar kötü değil, hatta vasat bile değil.","Evrim ile ilgili çıkan son yazılar kötü değil, belki vasat bile değil.",Evrim ile ilgili çıkan son yazılar kötü değil ama vasat.
vasat-kötü,Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı vasattı.,Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı kötüydü.,Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı vasat değildi.,Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı kötü değildi.,"Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı vasattı, hatta kötüydü.","Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı vasattı, belki de kötüydü.",Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı vasattı ama kötü değildi.,"Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı kötü değildi, hatta vasat bile değildi.","Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı kötü değildi, belki vasat bile değildi.",Çarpıcı bir anlatıma sahip olduğunu iddia ettiği yazısı kötü değildi ama vasattı.
vasat-kötü,Yazdığı romanlar vasat.,Yazdığı romanlar kötü.,Yazdığı romanlar vasat değil.,Yazdığı romanlar kötü değil.,"Yazdığı romanlar vasat, hatta kötü.","Yazdığı romanlar vasat, belki de kötü.",Yazdığı romanlar vasat ama kötü değil.,"Yazdığı romanlar kötü değil, hatta vasat bile değil.","Yazdığı romanlar kötü değil, belki vasat bile değil.",Yazdığı romanlar kötü değil ama vasat.
vasat-kötü,Seslendirdiği şarkılar vasattı.,Seslendirdiği şarkılar kötüydü.,Seslendirdiği şarkılar vasat değildi.,Seslendirdiği şarkılar kötü değildi.,"Seslendirdiği şarkılar vasattı, hatta kötüydü.","Seslendirdiği şarkılar vasattı, belki de kötüydü.",Seslendirdiği şarkılar vasattı ama kötü değildi.,"Seslendirdiği şarkılar kötü değildi, hatta vasat bile değildi.","Seslendirdiği şarkılar kötü değildi, belki vasat bile değildi.",Seslendirdiği şarkılar kötü değildi ama vasattı.
vasat-kötü,Yüzündeki estetik operasyonları vasat.,Yüzündeki estetik operasyonları kötü.,Yüzündeki estetik operasyonları vasat değil.,Yüzündeki estetik operasyonları kötü değil.,"Yüzündeki estetik operasyonları vasat, hatta kötü.","Yüzündeki estetik operasyonları vasat, belki de kötü.",Yüzündeki estetik operasyonları vasat ama kötü değil.,"Yüzündeki estetik operasyonları kötü değil, hatta vasat bile değil.","Yüzündeki estetik operasyonları kötü değil, belki vasat bile değil.",Yüzündeki estetik operasyonları kötü değil ama vasat.
vasat-kötü,Soyut tablolarınız vasat.,Soyut tablolarınız kötü.,Soyut tablolarınız vasat değil.,Soyut tablolarınız kötü değil.,"Soyut tablolarınız vasat, hatta kötü.","Soyut tablolarınız vasat, belki de kötü.",Soyut tablolarınız vasat ama kötü değil.,"Soyut tablolarınız kötü değil, hatta vasat bile değil.","Soyut tablolarınız kötü değil, belki vasat bile değil.",Soyut tablolarınız kötü değil ama vasat.
yakın-bitişik,Ev ile gideceği okul yakın.,Ev ile gideceği okul bitişik.,Ev ile gideceği okul yakın değil.,Ev ile gideceği okul bitişik değil.,"Ev ile gideceği okul yakın, hatta bitişik.","Ev ile gideceği okul yakın, belki bitişik.",Ev ile gideceği okul yakın ama bitişik değil.,"Ev ile gideceği okul bitişik değil, hatta yakın bile değil.","Ev ile gideceği okul bitişik değil, belki yakın bile değil.",Ev ile gideceği okul bitişik değil ama yakın.
yakın-bitişik,Eski ve yeni park birbirine yakın.,Eski ve yeni park birbirine bitişik.,Eski ve yeni park birbirine yakın değil.,Eski ve yeni park birbirine bitişik değil.,"Eski ve yeni park birbirine yakın, hatta bitişik.","Eski ve yeni park birbirine yakın, belki bitişik.",Eski ve yeni park birbirine yakın ama bitişik değil.,"Eski ve yeni park birbirine bitişik değil, hatta yakın bile değil.","Eski ve yeni park birbirine bitişik değil, belki yakın bile değil.",Eski ve yeni park birbirine bitişik değil ama yakın.
yakın-bitişik,Futbolcuların gideceği saha evlerine yakın.,Futbolcuların gideceği saha evlerine bitişik.,Futbolcuların gideceği saha evlerine yakın değil.,Futbolcuların gideceği saha evlerine bitişik değil.,"Futbolcuların gideceği saha evlerine yakın, hatta bitişik.","Futbolcuların gideceği saha evlerine yakın, belki bitişik.",Futbolcuların gideceği saha evlerine yakın ama bitişik değil.,"Futbolcuların gideceği saha evlerine bitişik değil, hatta yakın bile değil.","Futbolcuların gideceği saha evlerine bitişik değil, belki yakın bile değil.",Futbolcuların gideceği saha evlerine bitişik değil ama yakın.
yakın-bitişik,Projedeki evlerde odalar birbirine yakın.,Projedeki evlerde odalar birbirine bitişik.,Projedeki evlerde odalar birbirine yakın değil.,Projedeki evlerde odalar birbirine bitişik değil.,"Projedeki evlerde odalar birbirine yakın, hatta bitişik.","Projedeki evlerde odalar birbirine yakın, belki bitişik.",Projedeki evlerde odalar birbirine yakın ama bitişik değil.,"Projedeki evlerde odalar birbirine bitişik değil, hatta yakın bile değil.","Projedeki evlerde odalar birbirine bitişik değil, belki yakın bile değil.",Projedeki evlerde odalar birbirine bitişik değil ama yakın.
yakın-bitişik,Yeşillik alanlar araştırma merkezine yakın.,Yeşillik alanlar araştırma merkezine bitişik.,Yeşillik alanlar araştırma merkezine yakın değil.,Yeşillik alanlar araştırma merkezine bitişik değil.,"Yeşillik alanlar araştırma merkezine yakın, hatta bitişik.","Yeşillik alanlar araştırma merkezine yakın, belki bitişik.",Yeşillik alanlar araştırma merkezine yakın ama bitişik değil.,"Yeşillik alanlar araştırma merkezine bitişik değil, hatta yakın bile değil.","Yeşillik alanlar araştırma merkezine bitişik değil, belki yakın bile değil.",Yeşillik alanlar araştırma merkezine bitişik değil ama yakın.
yakın-bitişik,Otobüs durağı üniversite kampüsüne yakın.,Otobüs durağı üniversite kampüsüne bitişik.,Otobüs durağı üniversite kampüsüne yakın değil.,Otobüs durağı üniversite kampüsüne bitişik değil.,"Otobüs durağı üniversite kampüsüne yakın, hatta bitişik.","Otobüs durağı üniversite kampüsüne yakın, belki bitişik.",Otobüs durağı üniversite kampüsüne yakın ama bitişik değil.,"Otobüs durağı üniversite kampüsüne bitişik değil, hatta yakın bile değil.","Otobüs durağı üniversite kampüsüne bitişik değil, belki yakın bile değil.",Otobüs durağı üniversite kampüsüne bitişik değil ama yakın.
yakın-bitişik,Kütüphane yeni yapılan lunaparka yakınmış.,Kütüphane yeni yapılan lunaparka bitişikmiş.,Kütüphane yeni yapılan lunaparka yakın değilmiş.,Kütüphane yeni yapılan lunaparka bitişik değilmiş.,"Kütüphane yeni yapılan lunaparka yakınmış, hatta bitişikmiş.","Kütüphane yeni yapılan lunaparka yakınmış, belki de bitişikmiş.",Kütüphane yeni yapılan lunaparka yakınmış ama bitişik değilmiş.,"Kütüphane yeni yapılan lunaparka bitişik değilmiş, hatta yakın bile değilmiş.","Kütüphane yeni yapılan lunaparka bitişik değilmiş, belki yakın bile değilmiş.",Kütüphane yeni yapılan lunaparka bitişik değilmiş ama yakınmış.
yakın-bitişik,Güzellik salonu bize yakındı.,Güzellik salonu bize bitişikti.,Güzellik salonu bize yakın değildi.,Güzellik salonu bize bitişik değildi.,"Güzellik salonu bize yakındı, hatta bitişikti.","Güzellik salonu bize yakındı, belki de bitişikti.",Güzellik salonu bize yakındı ama bitişik değildi.,"Güzellik salonu bize bitişik değildi, hatta yakın bile değildi.","Güzellik salonu bize bitişik değildi, belki yakın bile değildi.",Güzellik salonu bize bitişik değildi ama yakındı.
yakın-bitişik,Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere yakın.,Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere bitişik.,Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere yakın değil.,Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere bitişik değil.,"Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere yakın, hatta bitişik.","Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere yakın, belki de bitişik.",Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere yakın ama bitişik değil.,"Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere bitişik değil, hatta yakın bile değil.","Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere bitişik değil, belki yakın bile değil.",Alışveriş merkezi insanların yoğunlukla yaşadığı mahallelere bitişik değil ama yakın.
yakın-bitişik,İş merkezi çalışanların meskenlerine yakınmış.,İş merkezi çalışanların meskenlerine bitişikmiş.,İş merkezi çalışanların meskenlerine yakın değilmiş.,İş merkezi çalışanların meskenlerine bitişik değilmiş.,"İş merkezi çalışanların meskenlerine yakınmış, hatta bitişikmiş.","İş merkezi çalışanların meskenlerine yakınmış, belki de bitişikmiş.",İş merkezi çalışanların meskenlerine yakınmış ama bitişik değilmiş.,"İş merkezi çalışanların meskenlerine bitişik değilmiş, hatta yakın bile değilmiş.","İş merkezi çalışanların meskenlerine bitişik değilmiş, belki yakın bile değilmiş.",İş merkezi çalışanların meskenlerine bitişik değilmiş ama yakınmış.
yakın-bitişik,Şarkıcının çıkacağı konser alanı belediye tesislerine yakın.,Şarkıcının çıkacağı konser alanı belediye tesislerine bitişik.,Şarkıcının çıkacağı konser alanı belediye tesislerine yakın değil.,Şarkıcının çıkacağı konser alanı belediye tesislerine bitişik değil.,"Şarkıcının çıkacağı konser alanı belediye tesislerine yakın, hatta bitişik.","Şarkıcının çıkacağı konser alanı belediye tesislerine yakın, belki de bitişik.",Şarkıcının çıkacağı konser alanı belediye tesislerine yakın ama bitişik değil.,"Şarkıcının çıkacağı konser alanı belediye tesislerine bitişik değil, hatta yakın bile değil.","Şarkıcının çıkacağı konser alanı belediye tesislerine bitişik değil, belki yakın bile değil.",Şarkıcının çıkacağı konser alanı belediye tesislerine bitişik değil ama yakın.
yakın-bitişik,Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine yakın.,Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine bitişik.,Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine yakın değil.,Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine bitişik değil.,"Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine yakın, hatta bitişik.","Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine yakın, belki de bitişik.",Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine yakın ama bitişik değil.,"Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine bitişik değil, hatta yakın bile değil.","Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine bitişik değil, belki yakın bile değil.",Bilgisayarı tamir ettireceğim teknik servis ile pantolonu diktireceğim terzi birbirine bitişik değil ama yakın.
yakın-bitişik,Havuzdan çıktıktan sonra gitmem gereken kurs yakın.,Havuzdan çıktıktan sonra gitmem gereken kurs bitişik.,Havuzdan çıktıktan sonra gitmem gereken kurs yakın değil.,Havuzdan çıktıktan sonra gitmem gereken kurs bitişik değil.,"Havuzdan çıktıktan sonra gitmem gereken kurs yakın, hatta bitişik.","Havuzdan çıktıktan sonra gitmem gereken kurs yakın, belki de bitişik.",Havuzdan çıktıktan sonra gitmem gereken kurs yakın ama bitişik değil.,"Havuzdan çıktıktan sonra gitmem gereken kurs bitişik değil, hatta yakın bile değil.","Havuzdan çıktıktan sonra gitmem gereken kurs bitişik değil, belki yakın bile değil.",Havuzdan çıktıktan sonra gitmem gereken kurs bitişik değil ama yakın.
yakın-bitişik,Yoga derslerini aldığım kompleks işyerime yakındı.,Yoga derslerini aldığım kompleks işyerime bitişikti.,Yoga derslerini aldığım kompleks işyerime yakın değildi.,Yoga derslerini aldığım kompleks işyerime bitişik değildi.,"Yoga derslerini aldığım kompleks işyerime yakındı, hatta bitişikti.","Yoga derslerini aldığım kompleks işyerime yakındı, belki de bitişikti.",Yoga derslerini aldığım kompleks işyerime yakındı ama bitişik değildi.,"Yoga derslerini aldığım kompleks işyerime bitişik değildi, hatta yakın bile değildi.","Yoga derslerini aldığım kompleks işyerime bitişik değildi, belki yakın bile değildi.",Yoga derslerini aldığım kompleks işyerime bitişik değildi ama yakındı.
yakın-bitişik,Tatilimizdeki tarihi destinasyonlar birbirine yakın.,Tatilimizdeki tarihi destinasyonlar birbirine bitişik.,Tatilimizdeki tarihi destinasyonlar birbirine yakın değil.,Tatilimizdeki tarihi destinasyonlar birbirine bitişik değil.,"Tatilimizdeki tarihi destinasyonlar birbirine yakın, hatta bitişik.","Tatilimizdeki tarihi destinasyonlar birbirine yakın, belki de bitişik.",Tatilimizdeki tarihi destinasyonlar birbirine yakın ama bitişik değil.,"Tatilimizdeki tarihi destinasyonlar birbirine bitişik değil, hatta yakın bile değil.","Tatilimizdeki tarihi destinasyonlar birbirine bitişik değil, belki yakın bile değil.",Tatilimizdeki tarihi destinasyonlar birbirine bitişik değil ama yakın.
yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişikti.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakın değildi.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi.,"Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı, hatta bitişikti.","Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı, belki de bitişikti.",Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı ama bitişik değildi.,"Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi, hatta yakın bile değildi.","Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi, belki yakın bile değildi.",Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi ama yakındı.
yakın-bitişik,Gitmek istedikleri dağların zirveleri birbirine yakınmış.,Gitmek istedikleri dağların zirveleri birbirine bitişikmiş.,Gitmek istedikleri dağların zirveleri birbirine yakın değilmiş.,Gitmek istedikleri dağların zirveleri birbirine bitişik değilmiş.,"Gitmek istedikleri dağların zirveleri birbirine yakınmış, hatta bitişikmiş.","Gitmek istedikleri dağların zirveleri birbirine yakınmış, belki de bitişikmiş.",Gitmek istedikleri dağların zirveleri birbirine yakınmış ama bitişik değilmiş.,"Gitmek istedikleri dağların zirveleri birbirine bitişikmiş, hatta yakın bile değilmiş.","Gitmek istedikleri dağların zirveleri birbirine bitişikmiş, belki yakın bile değilmiş.",Gitmek istedikleri dağların zirveleri birbirine bitişikmiş ama yakınmış.
yakın-bitişik,Tutacağın ev mahalle kasabına yakın.,Tutacağın ev mahalle kasabına bitişik.,Tutacağın ev mahalle kasabına yakın değil.,Tutacağın ev mahalle kasabına bitişik değil.,"Tutacağın ev mahalle kasabına yakın, hatta bitişik.","Tutacağın ev mahalle kasabına yakın, belki de bitişik.",Tutacağın ev mahalle kasabına yakın ama bitişik değil.,"Tutacağın ev mahalle kasabına bitişik değil, hatta yakın bile değil.","Tutacağın ev mahalle kasabına bitişik değil, belki yakın bile değil.",Tutacağın ev mahalle kasabına bitişik değil ama yakın.
yakın-bitişik,Arabanın satıldığı galeri benzin istasyonuna yakınmış.,Arabanın satıldığı galeri benzin istasyonuna bitişikmiş.,Arabanın satıldığı galeri benzin istasyonuna yakın değilmiş.,Arabanın satıldığı galeri benzin istasyonuna bitişik değilmiş.,"Arabanın satıldığı galeri benzin istasyonuna yakınmış, hatta bitişikmiş.","Arabanın satıldığı galeri benzin istasyonuna yakınmış, belki de bitişikmiş.",Arabanın satıldığı galeri benzin istasyonuna yakınmış ama bitişik değilmiş.,"Arabanın satıldığı galeri benzin istasyonuna bitişikmiş, hatta yakın bile değilmiş.","Arabanın satıldığı galeri benzin istasyonuna bitişikmiş, belki yakın bile değilmiş.",Arabanın satıldığı galeri benzin istasyonuna bitişikmiş ama yakınmış.
yakın-bitişik,Hastaneden çıkınca gitmen gereken eczane hastaneye yakın.,Hastaneden çıkınca gitmen gereken eczane hastaneye bitişik.,Hastaneden çıkınca gitmen gereken eczane hastaneye yakın değil.,Hastaneden çıkınca gitmen gereken eczane hastaneye bitişik değil.,"Hastaneden çıkınca gitmen gereken eczane hastaneye yakın, hatta bitişik.","Hastaneden çıkınca gitmen gereken eczane hastaneye yakın, belki de bitişik.",Hastaneden çıkınca gitmen gereken eczane hastaneye yakın ama bitişik değil.,"Hastaneden çıkınca gitmen gereken eczane hastaneye bitişik değil, hatta yakın bile değil.","Hastaneden çıkınca gitmen gereken eczane hastaneye bitişik değil, belki yakın bile değil.",Hastaneden çıkınca gitmen gereken eczane hastaneye bitişik değil ama yakın.
yakın-bitişik,Yürüyüş parkuru gümrük kapısına yakın.,Yürüyüş parkuru gümrük kapısına bitişik.,Yürüyüş parkuru gümrük kapısına yakın değil.,Yürüyüş parkuru gümrük kapısına bitişik değil.,"Yürüyüş parkuru gümrük kapısına yakın, hatta bitişik.","Yürüyüş parkuru gümrük kapısına yakın, belki de bitişik.",Yürüyüş parkuru gümrük kapısına yakın ama bitişik değil.,"Yürüyüş parkuru gümrük kapısına bitişik değil, hatta yakın bile değil.","Yürüyüş parkuru gümrük kapısına bitişik değil, belki yakın bile değil.",Yürüyüş parkuru gümrük kapısına bitişik değil ama yakın.
yakın-bitişik,Köpeğinizi gezdirmek için kullanacağınız park evinize yakın.,Köpeğinizi gezdirmek için kullanacağınız park evinize bitişik.,Köpeğinizi gezdirmek için kullanacağınız park evinize yakın değil.,Köpeğinizi gezdirmek için kullanacağınız park evinize bitişik değil.,"Köpeğinizi gezdirmek için kullanacağınız park evinize yakın, hatta bitişik.","Köpeğinizi gezdirmek için kullanacağınız park evinize yakın, belki de bitişik.",Köpeğinizi gezdirmek için kullanacağınız park evinize yakın ama bitişik değil.,"Köpeğinizi gezdirmek için kullanacağınız park evinize bitişik değil, hatta yakın bile değil.","Köpeğinizi gezdirmek için kullanacağınız park evinize bitişik değil, belki yakın bile değil.",Köpeğinizi gezdirmek için kullanacağınız park evinize bitişik değil ama yakın.
yakın-bitişik,Seramik tasarım atölyesi dil kursuna yakın.,Seramik tasarım atölyesi dil kursuna bitişik.,Seramik tasarım atölyesi dil kursuna yakın değil.,Seramik tasarım atölyesi dil kursuna bitişik değil.,"Seramik tasarım atölyesi dil kursuna yakın, hatta bitişik.","Seramik tasarım atölyesi dil kursuna yakın, belki de bitişik.",Seramik tasarım atölyesi dil kursuna yakın ama bitişik değil.,"Seramik tasarım atölyesi dil kursuna bitişik değil, hatta yakın bile değil.","Seramik tasarım atölyesi dil kursuna bitişik değil, belki yakın bile değil.",Seramik tasarım atölyesi dil kursuna bitişik değil ama yakın.
yakın-bitişik,Akustik folk çalan mekan yeni evime yakın.,Akustik folk çalan mekan yeni evime bitişik.,Akustik folk çalan mekan yeni evime yakın değil.,Akustik folk çalan mekan yeni evime bitişik değil.,"Akustik folk çalan mekan yeni evime yakın, hatta bitişik.","Akustik folk çalan mekan yeni evime yakın, belki de bitişik.",Akustik folk çalan mekan yeni evime yakın ama bitişik değil.,"Akustik folk çalan mekan yeni evime bitişik değil, hatta yakın bile değil.","Akustik folk çalan mekan yeni evime bitişik değil, belki yakın bile değil.",Akustik folk çalan mekan yeni evime bitişik değil ama yakın.
yakın-bitişik,Özgün konsepti olan kafe onun evine yakınmış.,Özgün konsepti olan kafe onun evine bitişikmiş.,Özgün konsepti olan kafe onun evine yakın değilmiş.,Özgün konsepti olan kafe onun evine bitişik değilmiş.,"Özgün konsepti olan kafe onun evine yakınmış, hatta bitişikmiş.","Özgün konsepti olan kafe onun evine yakınmış, belki de bitişikmiş.",Özgün konsepti olan kafe onun evine yakınmış ama bitişik değilmiş.,"Özgün konsepti olan kafe onun evine bitişik değilmiş, hatta yakın bile değilmiş.","Özgün konsepti olan kafe onun evine bitişik değilmiş, belki yakın bile değilmiş.",Özgün konsepti olan kafe onun evine bitişik değilmiş ama yakınmış.
