scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
muhtemelen-kesin,Duvarları muhtemelen kırmızıya boyarlarmış.,Duvarları kırmızıya boyayacakları kesinmiş.,Duvarları muhtemelen kırmızıya boyamazlarmış.,Duvarları kırmızıya boyayacakları kesin değilmiş.,"Duvarları muhtemelen kırmızıya boyarlarmış, hatta boyayacakları kesinmiş.","Duvarları muhtemelen kırmızıya boyarlarmış, boyamaları belki de kesinmiş.",Duvarları muhtemelen kırmızıya boyarlarmış ama boyamaları kesin değilmiş.,"Duvarları kırmızıya boyayacakları kesin değilmiş, hatta muhtemelen kırmızıya boyamazlarmış.","Duvarları kırmızıya boyayacakları kesin değilmiş, muhtemelen kırmızıya boyamazlarmış bile.","Duvarları kırmızıya boyayacakları kesin değilmiş, ama muhtemelen kırmızıya boyarlarmış."
muhtemelen-kesin,Çatıdaki karları muhtemelen kürerlermiş.,Çatıdaki karları kürecekleri kesinmiş.,Çatıdaki karları muhtemelen küremezlermiş.,Çatıdaki karları kürecekleri kesin değilmiş.,"Çatıdaki karları muhtemelen kürerlermiş, hatta kürecekleri kesinmiş.","Çatıdaki karları muhtemelen kürerlermiş, küremeleri belki de kesinmiş.",Çatıdaki karları muhtemelen kürerlermiş ama küremeleri kesin değilmiş.,"Çatıdaki karları kürecekleri kesin değilmiş, hatta muhtemelen kürmezlermiş.","Çatıdaki karları kürecekleri kesin değilmiş, muhtemelen kürmezlermiş bile.","Çatıdaki karları kürecekleri kesin değilmiş, ama muhtemelen kürerlermiş."
muhtemelen-kesin,O arabayı yarına kadar muhtemelen alırmış.,O arabayı yarına kadar alacağı kesinmiş.,O arabayı yarına kadar muhtemelen almazmış.,O arabayı yarına kadar alacağı kesin değilmiş.,"O arabayı yarına kadar muhtemelen alırmış, hatta alacağı kesinmiş.","O arabayı yarına kadar muhtemelen alırmış, alması belki de kesinmiş.",O arabayı yarına kadar muhtemelen alırmış ama alması kesin değilmiş.,"O arabayı yarına kadar alacağı kesin değilmiş, hatta muhtemelen almazmış.","O arabayı yarına kadar alacağı kesin değilmiş, muhtemelen almazmış bile.","O arabayı yarına kadar alacağı kesin değilmiş, ama muhtemelen alırmış."
muhtemelen-kesin,Polat muhtemelen ilaç içti.,Polat'ın ilaç içtiği kesin.,Polat muhtemelen ilaç içmedi.,Polat'ın ilaç içtiği kesin değil.,"Polat muhtemelen ilaç içti, hatta ilaç içtiği kesin.","Polat muhtemelen ilaç içti, belki de ilaç içtiği kesin.","Polat muhtemelen ilaç içti, ama ilaç içtiği kesin değil.","Polat'ın ilaç içtiği kesin değil, hatta muhtemelen ilaç içmedi.","Polat'ın ilaç içtiği kesin değil, muhtemelen ilaç içmedi bile.","Polat'ın ilaç içtiği kesin değil, ama muhtemelen ilaç içti."
muhtemelen-kesin,Köydekiler tarlaları muhtemelen ilaçladılar.,Köydekilerin tarlaları ilaçladığı kesin.,Köydekiler tarlaları muhtemelen ilaçlamadılar.,Köydekilerin tarlaları ilaçladığı kesin değil.,"Köydekiler tarlaları muhtemelen ilaçladılar, hatta ilaçladıkları kesin.","Köydekiler tarlaları muhtemelen ilaçladılar, belki de ilaçladıkları kesin.","Köydekiler tarlaları muhtemelen ilaçladılar, ama ilaçladıkları kesin değil.","Köydekilerin tarlaları ilaçladığı kesin değil, hatta muhtemelen ilaçlamadılar.","Köydekilerin tarlaları ilaçladığı kesin değil, muhtemelen ilaçlamadılar bile.","Köydekilerin tarlaları ilaçladığı kesin değil, ama muhtemelen ilaçladılar."
muhtemelen-kesin,Niyetini bugün muhtemelen belli etti.,Niyetini bugün belli ettiği kesin.,Niyetini bugün muhtemelen belli etmedi.,Niyetini bugün belli ettiği kesin değil.,"Niyetini bugün muhtemelen belli etti, hatta belli ettiği kesin.","Niyetini bugün muhtemelen belli etti, belki de belli ettiği kesin.","Niyetini bugün muhtemelen belli etti, ama belli ettiği kesin değil.","Niyetini bugün belli ettiği kesin değil, hatta muhtemelen belli etmedi.","Niyetini bugün belli ettiği kesin değil, muhtemelen belli etmedi bile.","Niyetini bugün belli ettiği kesin değil, ama muhtemelen belli etti."
muhtemelen-kesin,Dünkü buluşmalarında muhtemelen evlenme teklif etti.,Dünkü buluşmalarında evlenme teklif ettiği kesin.,Dünkü buluşmalarında muhtemelen evlenme teklif etmedi.,Dünkü buluşmalarında evlenme teklif ettiği kesin değil.,"Dünkü buluşmalarında muhtemelen evlenme teklif etti, hatta teklif ettiği kesin.","Dünkü buluşmalarında muhtemelen evlenme teklif etti, belki de teklif ettiği kesin.","Dünkü buluşmalarında muhtemelen evlenme teklif etti, ama teklif ettiği kesin değil.","Dünkü buluşmalarında evlenme teklif ettiği kesin değil, hatta muhtemelen evlenme teklif etmedi.","Dünkü buluşmalarında evlenme teklif ettiği kesin değil, muhtemelen evlenme teklif etmedi bile.","Dünkü buluşmalarında evlenme teklif ettiği kesin değil, ama muhtemelen evlenme teklif etti."
muhtemelen-kesin,Bu yıl bu konuda muhtemelen bir değişiklik yaptılar.,Bu yıl bu konuda bir değişiklik yaptıkları kesin.,Bu yıl bu konuda muhtemelen bir değişiklik yapmadılar.,Bu yıl bu konuda bir değişiklik yaptıkları kesin değil.,"Bu yıl bu konuda muhtemelen bir değişiklik yaptılar, hatta bir değişiklik yaptıkları kesin.","Bu yıl bu konuda muhtemelen bir değişiklik yaptılar, belki de bir değişiklik yaptıkları kesin.","Bu yıl bu konuda muhtemelen bir değişiklik yaptılar, ama bir değişiklik yaptıkları kesin değil.","Bu yıl bu konuda bir değişiklik yaptıkları kesin değil, hatta muhtemelen bir değişiklik yapmadılar.","Bu yıl bu konuda bir değişiklik yaptıkları kesin değil, muhtemelen bir değişiklik yapmadılar bile.","Bu yıl bu konuda bir değişiklik yaptıkları kesin değil, ama muhtemelen bir değişiklik yaptılar."
muhtemelen-kesin,Bu yıl muhtemelen bir yarışmaya katıldı.,Bu yıl bir yarışmaya katıldığı kesin.,Bu yıl muhtemelen bir yarışmaya katılmadı.,Bu yıl bir yarışmaya katıldığı kesin değil.,"Bu yıl muhtemelen bir yarışmaya katıldı, hatta katıldığı kesin.","Bu yıl muhtemelen bir yarışmaya katıldı, belki de katıldığı kesin.","Bu yıl muhtemelen bir yarışmaya katıldı, ama katıldığı kesin değil.","Bu yıl bir yarışmaya katıldığı kesin değil, hatta muhtemelen bir yarışmaya katılmadı.","Bu yıl bir yarışmaya katıldığı kesin değil, muhtemelen bir yarışmaya katılmadı bile.","Bu yıl bir yarışmaya katıldığı kesin değil, ama muhtemelen bir yarışmaya katıldı."
muhtemelen-kesin,Geçen sene muhtemelen kavakları kesti.,Geçen sene kavakları kestiği kesin.,Geçen sene muhtemelen kavakları kesmedi.,Geçen sene kavakları kestiği kesin değil.,"Geçen sene muhtemelen kavakları kesti, hatta kavakları kestiği kesin.","Geçen sene muhtemelen kavakları kesti, belki de kavakları kestiği kesin.","Geçen sene muhtemelen kavakları kesti, ama kavakları kestiği kesin değil.","Geçen sene kavakları kestiği kesin değil, hatta muhtemelen kavakları kesmedi.","Geçen sene kavakları kestiği kesin değil, muhtemelen kavakları kesmedi bile.","Geçen sene kavakları kestiği kesin değil, ama muhtemelen kavakları kesti."
muhtemelen-kesin,Geçen yıl bu kitabı muhtemelen bitirdi.,Geçen yıl bu kitabı bitirdiği kesin.,Geçen yıl bu kitabı muhtemelen bitirmedi.,Geçen yıl bu kitabı bitirdiği kesin değil.,"Geçen yıl bu kitabı muhtemelen bitirdi, hatta bitirdiği kesin.","Geçen yıl bu kitabı muhtemelen bitirdi, belki de bitirdiği kesin.","Geçen yıl bu kitabı muhtemelen bitirdi, ama bitirdiği kesin değil.","Geçen yıl bu kitabı bitirdiği kesin değil, hatta muhtemelen bitirmedi.","Geçen yıl bu kitabı bitirdiği kesin değil, muhtemelen bitirmedi bile.","Geçen yıl bu kitabı bitirdiği kesin değil, ama muhtemelen bitirdi."
muhtemelen-kesin,Bu filmi muhtemelen inceledi.,Bu filmi incelediği kesin.,Bu filmi muhtemelen incelemedi.,Bu filmi incelediği kesin değil.,"Bu filmi muhtemelen inceledi, hatta incelediği kesin.","Bu filmi muhtemelen inceledi, belki de incelediği kesin.","Bu filmi muhtemelen inceledi, ama incelediği kesin değil.","Bu filmi incelediği kesin değil, hatta muhtemelen incelemedi.","Bu filmi incelediği kesin değil, muhtemelen incelemedi bile.","Bu filmi incelediği kesin değil, ama muhtemelen inceledi."
muhtemelen-kesin,Bu geleneklerini muhtemelen değiştirdiler.,Bu geleneklerini değiştirdikleri kesin.,Bu geleneklerini muhtemelen değiştirmediler.,Bu geleneklerini değiştirdikleri kesin değil.,"Bu geleneklerini muhtemelen değiştirdiler, hatta değiştirdikleri kesin.","Bu geleneklerini muhtemelen değiştirdiler, belki de değiştirdikleri kesin.","Bu geleneklerini muhtemelen değiştirdiler, ama değiştirdikleri kesin değil.","Bu geleneklerini değiştirdikleri kesin değil, hatta muhtemelen değiştirmediler.","Bu geleneklerini değiştirdikleri kesin değil, muhtemelen değiştirmediler bile.","Bu geleneklerini değiştirdikleri kesin değil, ama muhtemelen değiştirdiler."
muhtemelen-kesin,Maaşlarına muhtemelen zam aldılar.,Maaşlarına zam aldıkları kesin.,Maaşlarına muhtemelen zam almadılar.,Maaşlarına zam aldıkları kesin değil.,"Maaşlarına muhtemelen zam aldılar, hatta zam aldıkları kesin.","Maaşlarına muhtemelen zam aldılar, belki de zam aldıkları kesin.","Maaşlarına muhtemelen zam aldılar, ama zam aldıkları kesin değil.","Maaşlarına zam aldıkları kesin değil, hatta muhtemelen zam almadılar.","Maaşlarına zam aldıkları kesin değil, muhtemelen zam almadılar bile.","Maaşlarına zam aldıkları kesin değil, ama muhtemelen zam aldılar."
muhtemelen-kesin,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin.,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartışmadılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil.,"Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar, hatta tartıştıkları kesin.","Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar, belki de tartıştıkları kesin.","Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar, ama tartıştıkları kesin değil.","Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil, hatta muhtemelen tartışmadılar.","Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil, muhtemelen tartışmadılar bile.","Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil, ama muhtemelen tartıştılar."
muhtemelen-kesin,Marsilya'da muhtemelen bir gece kaldılar.,Marsilya'da bir gece kaldıkları kesin.,Marsilya'da muhtemelen bir gece kalmadılar.,Marsilya'da bir gece kaldıkları kesin değil.,"Marsilya'da muhtemelen bir gece kaldılar, hatta kaldıkları kesin.","Marsilya'da muhtemelen bir gece kaldılar, belki de kaldıkları kesin.","Marsilya'da muhtemelen bir gece kaldılar, ama kaldıkları kesin değil.","Marsilya'da bir gece kaldıkları kesin değil, hatta muhtemelen bir gece kalmadılar.","Marsilya'da bir gece kaldıkları kesin değil, muhtemelen bir gece kalmadılar bile.","Marsilya'da bir gece kaldıkları kesin değil, ama muhtemelen bir gece kaldılar."
muhtemelen-kesin,Valencia'daki o restorana muhtemelen uğradılar.,Valencia'daki o restorana uğradıkları kesin.,Valencia'daki o restorana muhtemelen uğramadılar.,Valencia'daki o restorana uğradıkları kesin değil.,"Valencia'daki o restorana muhtemelen uğradılar, hatta uğradıkları kesin.","Valencia'daki o restorana muhtemelen uğradılar, belki de uğradıkları kesin.","Valencia'daki o restorana muhtemelen uğradılar, ama uğradıkları kesin değil.","Valencia'daki o restorana uğradıkları kesin değil, hatta muhtemelen uğramadılar.","Valencia'daki o restorana uğradıkları kesin değil, muhtemelen uğramadılar bile.","Valencia'daki o restorana uğradıkları kesin değil, ama muhtemelen uğradılar."
muhtemelen-kesin,Telefonun hafızasını muhtemelen temizledi.,Telefonun hafızasını temizlediği kesin.,Telefonun hafızasını muhtemelen temizlemedi.,Telefonun hafızasını temizlediği kesin değil.,"Telefonun hafızasını muhtemelen temizledi, hatta temizlediği kesin.","Telefonun hafızasını muhtemelen temizledi, belki de temizlediği kesin.","Telefonun hafızasını muhtemelen temizledi, ama temizlediği kesin değil.","Telefonun hafızasını temizlediği kesin değil, hatta muhtemelen temizlemedi.","Telefonun hafızasını temizlediği kesin değil, muhtemelen temizlemedi bile.","Telefonun hafızasını temizlediği kesin değil, ama muhtemelen temizledi."
muhtemelen-kesin,Evindeki çöpleri muhtemelen dışarı çıkardı.,Evindeki çöpleri dışarı çıkardığı kesin.,Evindeki çöpleri muhtemelen dışarı çıkarmadı.,Evindeki çöpleri dışarı çıkardığı kesin değil.,"Evindeki çöpleri muhtemelen dışarı çıkardı, hatta dışarı çıkardığı kesin.","Evindeki çöpleri muhtemelen dışarı çıkardı, belki de dışarı çıkardığı kesin.","Evindeki çöpleri muhtemelen dışarı çıkardı, ama dışarı çıkardığı kesin değil.","Evindeki çöpleri dışarı çıkardığı kesin değil, hatta muhtemelen dışarı çıkarmadı.","Evindeki çöpleri dışarı çıkardığı kesin değil, muhtemelen dışarı çıkarmadı bile.","Evindeki çöpleri dışarı çıkardığı kesin değil, ama muhtemelen dışarı çıkardı."
muhtemelen-kesin,Parasını verdiği dil kursuna muhtemelen katıldı.,Parasını verdiği dil kursuna katıldığı kesin.,Parasını verdiği dil kursuna muhtemelen katılmadı.,Parasını verdiği dil kursuna katıldığı kesin değil.,"Parasını verdiği dil kursuna muhtemelen katıldı, hatta katıldığı kesin.","Parasını verdiği dil kursuna muhtemelen katıldı, belki de katıldığı kesin.","Parasını verdiği dil kursuna muhtemelen katıldı, ama katıldığı kesin değil.","Parasını verdiği dil kursuna katıldığı kesin değil, hatta muhtemelen katılmadı.","Parasını verdiği dil kursuna katıldığı kesin değil, muhtemelen katılmadı bile.","Parasını verdiği dil kursuna katıldığı kesin değil, ama muhtemelen katıldı."
muhtemelen-kesin,Yunanca öğrenmek için muhtemelen bir kursa gitti.,Yunanca öğrenmek için bir kursa gittiği kesin.,Yunanca öğrenmek için muhtemelen bir kursa gitmedi.,Yunanca öğrenmek için bir kursa gittiği kesin değil.,"Yunanca öğrenmek için muhtemelen bir kursa gitti, hatta bir kursa gittiği kesin.","Yunanca öğrenmek için muhtemelen bir kursa gitti, belki de bir kursa gittiği kesin.","Yunanca öğrenmek için muhtemelen bir kursa gitti, ama bir kursa gittiği kesin değil.","Yunanca öğrenmek için bir kursa gittiği kesin değil, hatta muhtemelen bir kursa gitmedi.","Yunanca öğrenmek için bir kursa gittiği kesin değil, muhtemelen bir kursa gitmedi bile.","Yunanca öğrenmek için bir kursa gittiği kesin değil, ama muhtemelen bir kursa gitti."
muhtemelen-kesin,Televizyonun tozunu muhtemelen aldı.,Televizyonun tozunu aldığı kesin.,Televizyonun tozunu muhtemelen almadı.,Televizyonun tozunu aldığı kesin değil.,"Televizyonun tozunu muhtemelen aldı, hatta aldığı kesin.","Televizyonun tozunu muhtemelen aldı, belki de aldığı kesin.","Televizyonun tozunu muhtemelen aldı, ama aldığı kesin değil.","Televizyonun tozunu aldığı kesin değil, hatta muhtemelen almadı.","Televizyonun tozunu aldığı kesin değil, muhtemelen almadı bile.","Televizyonun tozunu aldığı kesin değil, ama muhtemelen aldı."
muhtemelen-kesin,Piknik organizasyonunu muhtemelen o üstlendi.,Piknik organizasyonunu onun üstlendiği kesin.,Piknik organizasyonunu muhtemelen o üstlenmedi.,Piknik organizasyonunu onun üstlendiği kesin değil.,"Piknik organizasyonunu muhtemelen o üstlendi, hatta üstlendiği kesin.","Piknik organizasyonunu muhtemelen o üstlendi, belki de üstlendiği kesin.","Piknik organizasyonunu muhtemelen o üstlendi, ama üstlendiği kesin değil.","Piknik organizasyonunu onun üstlendiği kesin değil, hatta muhtemelen üstlenmedi.","Piknik organizasyonunu onun üstlendiği kesin değil, muhtemelen üstlenmedi bile.","Piknik organizasyonunu onun üstlendiği kesin değil, ama muhtemelen üstlendi."
muhtemelen-kesin,Kalorifer peteklerini muhtemelen siz temizlediniz.,Kalorifer peteklerini sizin temizlediğiniz kesin.,Kalorifer peteklerini muhtemelen siz temizlemediniz.,Kalorifer peteklerini sizin temizlediğiniz kesin değil.,"Kalorifer peteklerini muhtemelen siz temizlediniz, hatta temizlediğiniz kesin.","Kalorifer peteklerini muhtemelen siz temizlediniz, belki de temizlediğiniz kesin.","Kalorifer peteklerini muhtemelen siz temizlediniz, ama temizlediğiniz kesin değil.","Kalorifer peteklerini sizin temizlediğiniz kesin değil, hatta muhtemelen temizlemediniz.","Kalorifer peteklerini sizin temizlediğiniz kesin değil, muhtemelen temizlemediniz bile.","Kalorifer peteklerini sizin temizlediğiniz kesin değil, ama muhtemelen temizlediğiniz."
muhtemelen-kesin,Muhtemelen yeni bir eve çıktı.,Yeni bir eve çıktığı kesin.,Muhtemelen yeni bir eve çıkmadı.,Yeni bir eve çıktığı kesin değil.,"Muhtemelen yeni bir eve çıktı, hatta çıktığı kesin.","Muhtemelen yeni bir eve çıktı, belki de çıktığı kesin.","Muhtemelen yeni bir eve çıktı, ama çıktığı kesin değil.","Yeni bir eve çıktığı kesin değil, hatta muhtemelen yeni bir eve çıkmadı.","Yeni bir eve çıktığı kesin değil, muhtemelen yeni bir eve çıkmadı bile.","Yeni bir eve çıktığı kesin değil, ama muhtemelen yeni bir eve çıktı."
muhtemelen-kesin,Muhtemelen geçen derste bu kitabı okudu.,Geçen derste bu kitabı okuduğu kesin.,Muhtemelen geçen derste bu kitabı okumadı.,Geçen derste bu kitabı okuduğu kesin değil.,"Muhtemelen geçen derste bu kitabı okudu, hatta okuduğu kesin.","Muhtemelen geçen derste bu kitabı okudu, belki de okuduğu kesin.","Muhtemelen geçen derste bu kitabı okudu, ama okuduğu kesin değil.","Geçen derste bu kitabı okuduğu kesin değil, hatta muhtemelen okumadı.","Geçen derste bu kitabı okuduğu kesin değil, muhtemelen okumadı bile.","Geçen derste bu kitabı okuduğu kesin değil, ama muhtemelen okudu."
muhtemelen-kesin,Tiyatrolar muhtemelen dün kapattılar.,Tiyatroların dün kapattığı kesin.,Tiyatrolar muhtemelen dün kapatmadılar.,Tiyatroların dün kapattığı kesin değil.,"Tiyatrolar muhtemelen dün kapattılar, hatta dün kapattığı kesin.","Tiyatrolar muhtemelen dün kapattılar, belki de dün kapattığı kesin.","Tiyatrolar muhtemelen dün kapattılar, ama dün kapattığı kesin değil.","Tiyatroların dün kapattığı kesin değil, hatta muhtemelen dün kapatmadılar.","Tiyatroların dün kapattığı kesin değil, muhtemelen dün kapatmadılar bile.","Tiyatroların dün kapattığı kesin değil, ama muhtemelen dün kapattı."
muhtemelen-kesin,Bu belgeseli muhtemelen beğendi.,Bu belgeseli beğendiği kesin.,Bu belgeseli muhtemelen beğenmedi.,Bu belgeseli beğendiği kesin değil.,"Bu belgeseli muhtemelen beğendi, hatta beğendiği kesin.","Bu belgeseli muhtemelen beğendi, belki de beğendiği kesin.","Bu belgeseli muhtemelen beğendi, ama beğendiği kesin değil.","Bu belgeseli beğendiği kesin değil, hatta muhtemelen beğenmedi.","Bu belgeseli beğendiği kesin değil, muhtemelen beğenmedi bile.","Bu belgeseli beğendiği kesin değil, ama muhtemelen beğendi."
muhtemelen-kesin,Koltuğu muhtemelen tamir etmiş.,Koltuğu tamir ettiği kesinmiş.,Koltuğu muhtemelen tamir etmemiş.,Koltuğu tamir ettiği kesin değilmiş.,"Koltuğu muhtemelen tamir etmiş, hatta tamir ettiği kesinmiş.","Koltuğu muhtemelen tamir etmiş, belki de tamir ettiği kesinmiş.","Koltuğu muhtemelen tamir etmiş, ama tamir ettiği kesin değilmiş.","Koltuğu tamir ettiği kesin değilmiş, hatta muhtemelen tamir etmemiş.","Koltuğu tamir ettiği kesin değilmiş, muhtemelen tamir etmemiş bile.","Koltuğu tamir ettiği kesin değilmiş, ama muhtemelen tamir etmiş."
muhtemelen-kesin,Bu oyunu muhtemelen bitirmiş.,Bu oyunu bitirdiği kesinmiş.,Bu oyunu muhtemelen bitirmemiş.,Bu oyunu bitirdiği kesin değilmiş.,"Bu oyunu muhtemelen bitirmiş, hatta bitirdiği kesinmiş.","Bu oyunu muhtemelen bitirmiş, belki de bitirdiği kesinmiş.","Bu oyunu muhtemelen bitirmiş, ama bitirdiği kesin değilmiş.","Bu oyunu bitirdiği kesin değilmiş, hatta muhtemelen bitirmemiş.","Bu oyunu bitirdiği kesin değilmiş, muhtemelen bitirmemiş bile.","Bu oyunu bitirdiği kesin değilmiş, ama muhtemelen bitirmiş."
muhtemelen-kesin,Yastıkları muhtemelen yıkamış.,Yastıkları yıkadığı kesinmiş.,Yastıkları muhtemelen yıkamamış.,Yastıkları yıkadığı kesin değilmiş.,"Yastıkları muhtemelen yıkamış, hatta yıkadığı kesinmiş.","Yastıkları muhtemelen yıkamış, belki de yıkadığı kesinmiş.","Yastıkları muhtemelen yıkamış, ama yıkadığı kesin değilmiş.","Yastıkları yıkadığı kesin değilmiş, hatta muhtemelen yıkamamış.","Yastıkları yıkadığı kesin değilmiş, muhtemelen yıkamamış bile.","Yastıkları yıkadığı kesin değilmiş, ama muhtemelen yıkamış."
muhtemelen-kesin,Belgeseli muhtemelen o seslendirmiş.,Belgeseli onun seslendirdiği kesinmiş.,Belgeseli muhtemelen o seslendirmemiş.,Belgeseli onun seslendirdiği kesin değilmiş.,"Belgeseli muhtemelen o seslendirmiş, hatta seslendirdiği kesinmiş.","Belgeseli muhtemelen o seslendirmiş, belki de seslendirdiği kesinmiş.","Belgeseli muhtemelen o seslendirmiş, ama seslendirdiği kesin değilmiş.","Belgeseli onun seslendirdiği kesin değilmiş, hatta muhtemelen seslendirmemiş.","Belgeseli onun seslendirdiği kesin değilmiş, muhtemelen seslendirmemiş bile.","Belgeseli onun seslendirdiği kesin değilmiş, ama muhtemelen seslendirmiş."
muhtemelen-kesin,Fabrikaya muhtemelen uğramış.,Fabrikaya uğradığı kesinmiş.,Fabrikaya muhtemelen uğramamış.,Fabrikaya uğradığı kesin değilmiş.,"Fabrikaya muhtemelen uğramış, hatta uğradığı kesinmiş.","Fabrikaya muhtemelen uğramış, belki de uğradığı kesinmiş.","Fabrikaya muhtemelen uğramış, ama uğradığı kesin değilmiş.","Fabrikaya uğradığı kesin değilmiş, hatta muhtemelen uğramamış.","Fabrikaya uğradığı kesin değilmiş, muhtemelen uğramamış bile.","Fabrikaya uğradığı kesin değilmiş, ama muhtemelen uğramış."
muhtemelen-kesin,Geçen ay makaleyi muhtemelen bitirmiş.,Geçen ay makaleyi bitirdiği kesinmiş.,Geçen ay makaleyi muhtemelen bitirmemiş.,Geçen ay makaleyi bitirdiği kesin değilmiş.,"Geçen ay makaleyi muhtemelen bitirmiş, hatta bitirdiği kesinmiş.","Geçen ay makaleyi muhtemelen bitirmiş, belki de bitirdiği kesinmiş.","Geçen ay makaleyi muhtemelen bitirmiş, ama bitirdiği kesin değilmiş.","Geçen ay makaleyi bitirdiği kesin değilmiş, hatta muhtemelen bitirmemiş.","Geçen ay makaleyi bitirdiği kesin değilmiş, muhtemelen bitirmemiş bile.","Geçen ay makaleyi bitirdiği kesin değilmiş, ama muhtemelen bitirmiş."
muhtemelen-kesin,Geçen kış muhtemelen Japonya'da kalmışlar.,Geçen kış Japonya'da kaldıkları kesinmiş.,Geçen kış muhtemelen Japonya'da kalmamışlar.,Geçen kış Japonya'da kaldıkları kesin değilmiş.,"Geçen kış muhtemelen Japonya'da kalmışlar, hatta kaldıkları kesinmiş.","Geçen kış muhtemelen Japonya'da kalmışlar, belki de kaldıkları kesinmiş.","Geçen kış muhtemelen Japonya'da kalmışlar, ama kaldıkları kesin değilmiş.","Geçen kış Japonya'da kaldıkları kesin değilmiş, hatta muhtemelen Japonya'da kalmamışlar.","Geçen kış Japonya'da kaldıkları kesin değilmiş, muhtemelen Japonya'da kalmamışlar bile.","Geçen kış Japonya'da kaldıkları kesin değilmiş, ama muhtemelen Japonya'da kalmışlar."
muhtemelen-kesin,Şarkının sözlerini muhtemelen anlamışlar.,Şarkının sözlerini anladıkları kesinmiş.,Şarkının sözlerini muhtemelen anlamamışlar.,Şarkının sözlerini anladıkları kesin değilmiş.,"Şarkının sözlerini muhtemelen anlamışlar, hatta anladıkları kesinmiş.","Şarkının sözlerini muhtemelen anlamışlar, belki de anladıkları kesinmiş.","Şarkının sözlerini muhtemelen anlamışlar, ama anladıkları kesin değilmiş.","Şarkının sözlerini anladıkları kesin değilmiş, hatta muhtemelen anlamamışlar.","Şarkının sözlerini anladıkları kesin değilmiş, muhtemelen anlamamışlar bile.","Şarkının sözlerini anladıkları kesin değilmiş, ama muhtemelen anlamışlar."
muhtemelen-kesin,Evini muhtemelen temizlemişsin.,Evini temizlediğin kesinmiş.,Evini muhtemelen temizlememişsin.,Evini temizlediğin kesin değilmiş.,"Evini muhtemelen temizlemişsin, hatta temizlediğin kesinmiş.","Evini muhtemelen temizlemişsin, belki de temizlediğin kesinmiş.","Evini muhtemelen temizlemişsin, ama temizlediğin kesin değilmiş.","Evini temizlediğin kesin değilmiş, hatta muhtemelen temizlememişsin.","Evini temizlediğin kesin değilmiş, muhtemelen temizlememişsin bile.","Evini temizlediğin kesin değilmiş, ama muhtemelen temizlemişsin."
muhtemelen-kesin,Muhtemelen Trabzon'da kalmışlar.,Trabzon'da kaldıkları kesinmiş.,Muhtemelen Trabzon'da kalmamışlar.,Trabzon'da kaldıkları kesin değilmiş.,"Muhtemelen Trabzon'da kalmışlar, hatta kaldıkları kesinmiş.","Muhtemelen Trabzon'da kalmışlar, belki de kaldıkları kesinmiş.","Muhtemelen Trabzon'da kalmışlar, ama kaldıkları kesin değilmiş.","Trabzon'da kaldıkları kesin değilmiş, hatta muhtemelen Trabzon'da kalmamışlar.","Trabzon'da kaldıkları kesin değilmiş, muhtemelen Trabzon'da kalmamışlar bile.","Trabzon'da kaldıkları kesin değilmiş, ama muhtemelen Trabzon'da kalmışlar."
muhtemelen-kesin,Yemeğini muhtemelen çöpe atmış.,Yemeğini çöpe attığı kesinmiş.,Yemeğini muhtemelen çöpe atmamış.,Yemeğini çöpe attığı kesin değilmiş.,"Yemeğini muhtemelen çöpe atmış, hatta çöpe attığı kesinmiş.","Yemeğini muhtemelen çöpe atmış, belki de çöpe attığı kesinmiş.","Yemeğini muhtemelen çöpe atmış, ama çöpe attığı kesin değilmiş.","Yemeğini çöpe attığı kesin değilmiş, hatta muhtemelen çöpe atmamış.","Yemeğini çöpe attığı kesin değilmiş, muhtemelen çöpe atmamış bile.","Yemeğini çöpe attığı kesin değilmiş, ama muhtemelen çöpe atmış."
muhtemelen-kesin,Işıklandırmayı muhtemelen o açmış.,Işıklandırmayı onun açtığı kesinmiş.,Işıklandırmayı muhtemelen o açmamış.,Işıklandırmayı onun açtığı kesin değilmiş.,"Işıklandırmayı muhtemelen o açmış, hatta açtığı kesinmiş.","Işıklandırmayı muhtemelen o açmış, belki de açtığı kesinmiş.","Işıklandırmayı muhtemelen o açmış, ama açtığı kesin değilmiş.","Işıklandırmayı onun açtığı kesin değilmiş, hatta muhtemelen açmamış.","Işıklandırmayı onun açtığı kesin değilmiş, muhtemelen açmamış bile.","Işıklandırmayı onun açtığı kesin değilmiş, ama muhtemelen açmış."
