scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
on-on iki,Tatile on valizle gitmişler.,Tatile on iki valizle gitmişler.,Tatile on valizle gitmemişler.,Tatile on iki valizle gitmemişler.,Tatile ondan fazla valizle gitmemişler.,"Tatile on valizle gitmişler, hatta on iki valizle gitmişler.","Tatile on valizle gitmişler, belki de on iki valizle gitmişler.",Tatile on valizle gitmişler ama on iki valizle gitmemişler.,"Tatile on iki valizle gitmemişler, hatta on valizle bile gitmemişler.","Tatile on iki valizle gitmemişler, belki on valizle bile gitmemişler.",Tatile on iki valizle gitmemişler ama on valizle gitmişler.,Tatile ondan az valizle gitmişler.,Tatile en fazla dokuz valizle gitmişler.,Tatile en az bir tane valizle gitmişler.
on-on iki,On saat uyumuş.,On iki saat uyumuş.,On saat uyumamış.,On iki saat uyumamış.,Ondan fazla saat uyumamış.,"On saat uyumuş, hatta on iki saat uyumuş.","On saat uyumuş, belki de on iki saat uyumuş.",On saat uyumuş ama on iki saat uyumamış.,"On iki saat uyumamış, hatta on saat bile uyumamış.","On iki saat uyumamış, belki on saat bile uyumamış.",On iki saat uyumamış ama on saat uyumuş.,Ondan az saat uyumuş.,En fazla dokuz saat uyumuş.,En az bir tane saat uyumuş.
on-on iki,Dünkü miting on saat sürmüş.,Dünkü miting on iki saat sürmüş.,Dünkü miting on saat sürmemiş.,Dünkü miting on iki saat sürmemiş.,Dünkü miting ondan fazla saat sürmemiş.,"Dünkü miting on saat sürmüş, hatta on iki saat sürmüş.","Dünkü miting on saat sürmüş, belki de on iki saat sürmüş.",Dünkü miting on saat sürmüş ama on iki saat sürmemiş.,"Dünkü miting on iki saat sürmemiş, hatta on saat bile sürmemiş.","Dünkü miting on iki saat sürmemiş, belki on saat bile sürmemiş.",Dünkü miting on iki saat sürmemiş ama on saat sürmüş.,Dünkü miting ondan az saat sürmüş.,Dünkü miting en fazla dokuz saat sürmüş.,Dünkü miting en az bir saat sürmüş.
on-on iki,Lahanaları on defa yıkamış.,Lahanaları on iki defa yıkamış.,Lahanaları on defa yıkamamış.,Lahanaları on iki defa yıkamamış.,Lahanaları ondan fazla defa yıkamamış.,"Lahanaları on defa yıkamış, hatta on iki defa yıkamış.","Lahanaları on defa yıkamış, belki de on iki defa yıkamış.",Lahanaları on defa yıkamış ama on iki defa yıkamamış.,"Lahanaları on iki defa yıkamamış, hatta on defa yıkamamış.","Lahanaları on iki defa yıkamamış, belki on defa yıkamamış.",Lahanaları on iki defa yıkamamış ama on defa yıkamış.,Lahanaları ondan az defa yıkamış.,Lahanaları en fazla dokuz defa yıkamış.,Lahanaları en az bir defa yıkamış.
on-on iki,Aynı mekana on defa gitmiş.,Aynı mekana on iki defa gitmiş.,Aynı mekana on defa gitmemiş.,Aynı mekana on iki defa gitmemiş.,Aynı mekana ondan fazla defa gitmemiş.,"Aynı mekana on defa gitmiş, hatta on iki defa gitmiş.","Aynı mekana on defa gitmiş, belki de on iki defa gitmiş.",Aynı mekana on defa gitmiş ama on iki defa gitmemiş.,"Aynı mekana on iki defa gitmemiş, hatta on defa gitmemiş.","Aynı mekana on iki defa gitmemiş, belki on defa gitmemiş.",Aynı mekana on iki defa gitmemiş ama on defa gitmiş.,Aynı mekana ondan az defa gitmiş.,Aynı mekana en fazla dokuz defa gitmiş.,Aynı mekana en az bir defa gitmiş.
on-on iki,Elindekileri on kişiye paylaştırmış.,Elindekileri on iki kişiye paylaştırmış.,Elindekileri on kişiye paylaştırmamış.,Elindekileri on iki kişiye paylaştırmamış.,Elindekileri ondan fazla kişiye paylaştırmamış.,"Elindekileri on kişiye paylaştırmış, hatta on iki kişiye paylaştırmış.","Elindekileri on kişiye paylaştırmış, belki de on iki kişiye paylaştırmış.",Elindekileri on kişiye paylaştırmış ama on iki kişiye paylaştırmamış.,"Elindekileri on iki kişiye paylaştırmamış, hatta on kişiye bile paylaştırmamış.","Elindekileri on iki kişiye paylaştırmamış, belki on kişiye bile paylaştırmamış.",Elindekileri on iki kişiye paylaştırmamış ama on kişiye paylaştırmış.,Elindekileri ondan az kişiye paylaştırmış.,Elindekileri en fazla dokuz kişiye paylaştırmış.,Elindekileri en az bir tane kişiye paylaştırmış.
on-on iki,Sırtındaki çantayı on mağazada görmüştüm.,Sırtındaki çantayı on iki mağazada görmüştüm.,Sırtındaki çantayı on mağazada görmemiştim.,Sırtındaki çantayı on iki mağazada görmemiştim.,Sırtındaki çantayı ondan fazla mağazada görmemiştim.,"Sırtındaki çantayı on mağazada görmüştüm, hatta on iki mağazada görmüştüm.","Sırtındaki çantayı on mağazada görmüştüm, belki de on iki mağazada görmüştüm.",Sırtındaki çantayı on mağazada görmüştüm ama on iki mağazada görmemiştim.,"Sırtındaki çantayı on iki mağazada görmemiştim, hatta on mağazada bile görmemiştim.","Sırtındaki çantayı on iki mağazada görmemiştim, belki on mağazada bile görmemiştim.",Sırtındaki çantayı on iki mağazada görmemiştim ama on mağazada görmüştüm.,Sırtındaki çantayı ondan az mağazada görmüştüm.,Sırtındaki çantayı en fazla dokuz mağazada görmüştüm.,Sırtındaki çantayı en az bir tane mağazada görmüştüm.
on-on iki,Müzedeki heykel on ülkede gezmiş.,Müzedeki heykel on iki ülkede gezmiş.,Müzedeki heykel on ülkede gezmemiş.,Müzedeki heykel on iki ülkede gezmemiş.,Müzedeki heykel ondan fazla ülkede gezmemiş.,"Müzedeki heykel on ülkede gezmiş, hatta on iki ülkede gezmiş.","Müzedeki heykel on ülkede gezmiş, belki de on iki ülkede gezmiş.",Müzedeki heykel on ülkede gezmiş ama on iki ülkede gezmemiş.,"Müzedeki heykel on iki ülkede gezmemiş, hatta on ülkede bile gezmemiş.","Müzedeki heykel on iki ülkede gezmemiş, belki on ülkede bile gezmemiş.",Müzedeki heykel on iki ülkede gezmemiş ama on ülkede gezmiş.,Müzedeki heykel ondan az ülkede gezmiş.,Müzedeki heykel en fazla dokuz ülkede gezmiş.,Müzedeki heykel en az bir tane ülkede gezmiş.
on-on iki,Kaynak ustası bu işte on yıldır çalışıyor.,Kaynak ustası bu işte on iki yıldır çalışıyor.,Kaynak ustası bu işte on yıldır çalışmıyor.,Kaynak ustası bu işte on iki yıldır çalışmıyor.,Kaynak ustası bu işte ondan fazla yıldır çalışmıyor.,"Kaynak ustası bu işte on yıldır çalışıyor, hatta on iki yıldır çalışıyor.","Kaynak ustası bu işte on yıldır çalışıyor, belki de on iki yıldır çalışıyor.",Kaynak ustası bu işte on yıldır çalışıyor ama on iki yıldır çalışmıyor.,"Kaynak ustası bu işte on iki yıldır çalışmıyor, hatta on yıldır bile çalışmıyor.","Kaynak ustası bu işte on iki yıldır çalışmıyor, belki on yıldır bile çalışmıyor.",Kaynak ustası bu işte on iki yıldır çalışmıyor ama on yıldır çalışıyor.,Kaynak ustası bu işte ondan yıldan az süredir çalışıyor.,Kaynak ustası bu işte en fazla dokuz yıldır çalışıyor.,Kaynak ustası bu işte en az bir yıldır çalışıyor.
on-on iki,Elif arabayı on saat kullanmış.,Elif arabayı on iki saat kullanmış.,Elif arabayı on saat kullanmamış.,Elif arabayı on iki saat kullanmamış.,Elif arabayı ondan fazla saat kullanmamış.,"Elif arabayı on saat kullanmış, hatta on iki saat kullanmış.","Elif arabayı on saat kullanmış, belki de on iki saat kullanmış.",Elif arabayı on saat kullanmış ama on iki saat kullanmamış.,"Elif arabayı on iki saat kullanmamış, hatta on saat bile kullanmamış.","Elif arabayı on iki saat kullanmamış, belki on saat bile kullanmamış.",Elif arabayı on iki saat kullanmamış ama on saat kullanmış.,Elif arabayı ondan saatten az kullanmış.,Elif arabayı en fazla dokuz saat kullanmış.,Elif arabayı en az bir saat kullanmış.
on-on iki,Bu ülkenin on tane dağı var.,Bu ülkenin on iki tane dağı var.,Bu ülkenin on tane dağı yok.,Bu ülkenin on iki tane dağı yok.,Bu ülkenin ondan fazla tane dağı yok.,"Bu ülkenin on tane dağı var, hatta on iki tane dağı var.","Bu ülkenin on tane dağı var, belki de on iki tane dağı var.",Bu ülkenin on tane dağı var ama on iki tane dağı yok.,"Bu ülkenin on iki tane dağı yok, hatta on tane dağı bile yok.","Bu ülkenin on iki tane dağı yok, belki on tane dağı bile yok.",Bu ülkenin on iki tane dağı yok ama on tane dağı var.,Bu ülkenin ondan az dağı var.,Bu ülkenin en fazla dokuz dağı var.,Bu ülkenin en az bir tane dağı var.
on-on iki,Yemekleri on kişi paylaşacakmış.,Yemekleri on iki kişi paylaşacakmış.,Yemekleri on kişi paylaşmayacakmış.,Yemekleri on iki kişi paylaşmayacakmış.,Yemekleri ondan fazla kişi paylaşmayacakmış.,"Yemekleri on kişi paylaşacakmış, hatta on iki kişi paylaşacakmış.","Yemekleri on kişi paylaşacakmış, belki de on iki kişi paylaşacakmış.",Yemekleri on kişi paylaşacakmış ama on iki kişi paylaşmayacakmış.,"Yemekleri on iki kişi paylaşmayacakmış, hatta on kişi paylaşmayacakmış.","Yemekleri on iki kişi paylaşmayacakmış, belki on kişi paylaşmayacakmış.",Yemekleri on iki kişi paylaşmayacakmış ama on kişi paylaşacakmış.,Yemekleri ondan az kişi paylaşacakmış.,Yemekleri en fazla dokuz kişi paylaşacakmış.,Yemekleri en az iki kişi paylaşacakmış.
on-on iki,Tabletler on uygulama çalıştırıyormuş.,Tabletler on iki uygulama çalıştırıyormuş.,Tabletler on uygulama çalıştırmıyormuş.,Tabletler on iki uygulama çalıştırmıyormuş.,Tabletler ondan fazla uygulama çalıştırmıyormuş.,"Tabletler on uygulama çalıştırıyormuş, hatta on iki uygulama çalıştırıyormuş.","Tabletler on uygulama çalıştırıyormuş, belki de on iki uygulama çalıştırıyormuş.",Tabletler on uygulama çalıştırıyormuş ama on iki uygulama çalıştırmıyormuş.,"Tabletler on iki uygulama çalıştırmıyormuş, hatta on uygulama bile çalıştırmıyormuş.","Tabletler on iki uygulama çalıştırmıyormuş, belki on uygulama bile çalıştırmıyormuş.",Tabletler on iki uygulama çalıştırmıyormuş ama on uygulama çalıştırıyormuş.,Tabletler ondan az uygulama çalıştırıyormuş.,Tabletler en fazla dokuz uygulama çalıştırıyormuş.,Tabletler en az bir tane uygulama çalıştırıyormuş.
on-on iki,Yorganları on kişi yıkamış.,Yorganları on iki kişi yıkamış.,Yorganları on kişi yıkamamış.,Yorganları on iki kişi yıkamamış.,Yorganları ondan fazla kişi yıkamamış.,"Yorganları on kişi yıkamış, hatta on iki kişi yıkamış.","Yorganları on kişi yıkamış, belki de on iki kişi yıkamış.",Yorganları on kişi yıkamış ama on iki kişi yıkamamış.,"Yorganları on iki kişi yıkamamış, hatta on kişi yıkamamış.","Yorganları on iki kişi yıkamamış, belki on kişi yıkamamış.",Yorganları on iki kişi yıkamamış ama on kişi yıkamış.,Yorganları ondan az kişi yıkamış.,Yorganları en fazla dokuz kişi yıkamış.,Yorganları en az bir tane kişi yıkamış.
on-on iki,Ebeveynler on tane eğitim alacaklarmış.,Ebeveynler on iki tane eğitim alacaklarmış.,Ebeveynler on tane eğitim almayacaklarmış.,Ebeveynler on iki tane eğitim almayacaklarmış.,Ebeveynler ondan fazla eğitim almayacaklarmış.,"Ebeveynler on tane eğitim alacaklarmış, hatta on iki tane eğitim alacaklarmış.","Ebeveynler on tane eğitim alacaklarmış, belki de on iki tane eğitim alacaklarmış.",Ebeveynler on tane eğitim alacaklarmış ama on iki tane eğitim almayacaklarmış.,"Ebeveynler on iki tane eğitim almayacaklarmış, hatta on tane eğitim almayacaklarmış.","Ebeveynler on iki tane eğitim almayacaklarmış, belki on tane eğitim almayacaklarmış.",Ebeveynler on iki tane eğitim almayacaklarmış ama on tane eğitim alacaklarmış.,Ebeveynler ondan az eğitim alacaklarmış.,Ebeveynler en fazla dokuz eğitim alacaklarmış.,Ebeveynler en az bir tane eğitim alacaklarmış.
on-on iki,Bana on dakika hakaret etti.,Bana on iki dakika hakaret etti.,Bana on dakika hakaret etmedi.,Bana on iki dakika hakaret etmedi.,Bana on dakikadan fazla hakaret etmedi.,"Bana on dakika hakaret etti, hatta on iki dakika hakaret etti.","Bana on dakika hakaret etti, belki de on iki dakika hakaret etti.",Bana on dakika hakaret etti ama on iki dakika hakaret etmedi.,"Bana on iki dakika hakaret etmedi, hatta on dakika bile hakaret etmedi.","Bana on iki dakika hakaret etmedi, belki on dakika bile hakaret etmedi.",Bana on iki dakika hakaret etmedi ama on dakika hakaret etti.,Bana on dakikadan daha az hakaret etti.,Bana en fazla dokuz dakika hakaret etti.,Bana en bir dakika hakaret etti.
on-on iki,Aybike'ye on tane yalan söyledim.,Aybike'ye on iki tane yalan söyledim.,Aybike'ye on tane yalan söylemedim.,Aybike'ye on iki tane yalan söylemedim.,Aybike'ye on tane yalandan fazla söylemedim.,"Aybike'ye on tane yalan söyledim, hatta on iki tane yalan söyledim.","Aybike'ye on tane yalan söyledim, belki de on iki tane yalan söyledim.",Aybike'ye on tane yalan söyledim ama on iki tane yalan söylemedim.,"Aybike'ye on iki tane yalan söylemedim, hatta on tane yalan bile söylemedim.","Aybike'ye on iki tane yalan söylemedim, belki on tane yalan bile söylemedim.",Aybike'ye on iki tane yalan söylemedim ama on tane yalan söyledim.,Aybike'ye ondan az yalan söyledim.,Aybike'ye en fazla dokuz yalan söyledim.,Aybike'ye en az bir yalan söyledim.
on-on iki,On kişi geziye katıldı.,On iki kişi geziye katıldı.,On kişi geziye katılmadı.,On iki kişi geziye katılmadı.,On kişiden fazlası geziye katılmadı.,"On kişi geziye katıldı, hatta on iki kişi geziye katıldı.","On kişi geziye katıldı, belki de on iki kişi geziye katıldı.",On kişi geziye katıldı ama on iki kişi geziye katılmadı.,"On iki kişi geziye katılmadı, hatta on kişi bile geziye katılmadı.","On iki kişi geziye katılmadı, belki on kişi bile geziye katılmadı.",On iki kişi geziye katılmadı ama on kişi geziye katıldı.,On kişiden azı geziye katıldı.,En fazla dokuz kişi geziye katıldı.,En az bir kişi geziye katıldı.
on-on iki,On araba yarışa katıldı.,On iki araba yarışa katıldı.,On araba yarışa katılmadı.,On iki araba yarışa katılmadı.,On arabadan fazlası yarışa katılmadı.,"On araba yarışa katıldı, hatta on iki araba yarışa katıldı.","On araba yarışa katıldı, belki de on iki araba yarışa katıldı.",On araba yarışa katıldı ama on iki araba yarışa katılmadı.,"On iki araba yarışa katılmadı, hatta on araba bile yarışa katılmadı.","On iki araba yarışa katılmadı, belki on araba bile yarışa katılmadı.",On iki araba yarışa katılmadı ama on araba yarışa katıldı.,On arabadan azı yarışa katıldı.,En fazla dokuz araba yarışa katıldı.,En az bir araba yarışa katıldı.
on-on iki,Halatı on kişi çekti.,Halatı on iki kişi çekti.,Halatı on kişi çekmedi.,Halatı on iki kişi çekmedi.,Halatı on kişiden fazlası çekmedi.,"Halatı on kişi çekti, hatta on iki kişi çekti.","Halatı on kişi çekti, belki de on iki kişi çekti.",Halatı on kişi çekti ama on iki kişi çekmedi.,"Halatı on iki kişi çekmedi, hatta on kişi bile çekmedi.","Halatı on iki kişi çekmedi, belki on kişi bile çekmedi.",Halatı on iki kişi çekmedi ama on kişi çekti.,Halatı on kişiden azı çekti.,Halatı en fazla dokuz kişi çekti.,Halatı en az bir kişi çekti.
on-on iki,Damacanada on litre su var.,Damacanada on iki litre su var.,Damacanada on litre su yok.,Damacanada on iki litre su yok.,Damacanada on litreden fazla su yok.,"Damacanada on litre su var, hatta on iki litre su var.","Damacanada on litre su var, belki de on iki litre su var.",Damacanada on litre su var ama on iki litre su yok.,"Damacanada on iki litre su yok, hatta on litre bile su yok.","Damacanada on iki litre su yok, belki on litre bile su yok.",Damacanada on iki litre su yok ama on litre su var.,Damacanada on litreden az su var.,Damacanada en fazla dokuz litre su var.,Damacanada en az bir litre su var.
on beş-yirmi,Parkta on beş bakıcı var.,Parkta yirmi bakıcı var.,Parkta on beş bakıcı yok.,Parkta yirmi bakıcı yok.,Parkta on beşten fazla bakıcı yok.,"Parkta on beş bakıcı var, hatta yirmi bakıcı var.","Parkta on beş bakıcı var, belki de yirmi bakıcı var.",Parkta on beş bakıcı var ama yirmi bakıcı yok.,"Parkta yirmi bakıcı yok, hatta on beş bakıcı bile yok.","Parkta yirmi bakıcı yok, belki on beş bakıcı bile yok.",Parkta yirmi bakıcı yok ama on beş bakıcı var.,Parkta on beşten az bakıcı var.,Parkta en fazla on dört bakıcı var.,Parkta en az bir tane bakıcı var.
on beş-yirmi,Sofrada on beş tabak var.,Sofrada yirmi tabak var.,Sofrada on beş tabak yok.,Sofrada yirmi tabak yok.,Sofrada on beşten fazla tabak yok.,"Sofrada on beş tabak var, hatta yirmi tabak var.","Sofrada on beş tabak var, belki de yirmi tabak var.",Sofrada on beş tabak var ama yirmi tabak yok.,"Sofrada yirmi tabak yok, hatta on beş tabak bile yok.","Sofrada yirmi tabak yok, belki on beş tabak bile yok.",Sofrada yirmi tabak yok ama on beş tabak var.,Sofrada on beşten az tabak var.,Sofrada en fazla on dört tabak var.,Sofrada en az bir tane tabak var.
on beş-yirmi,Rafta on beş kitap gördüm.,Rafta yirmi kitap gördüm.,Rafta on beş kitap görmedim.,Rafta yirmi kitap görmedim.,Rafta on beşten fazla kitap görmedim.,"Rafta on beş kitap gördüm, hatta yirmi kitap gördüm.","Rafta on beş kitap gördüm, belki de yirmi kitap gördüm.",Rafta on beş kitap gördüm ama yirmi kitap görmedim.,"Rafta yirmi kitap görmedim, hatta on beş kitap bile görmedim.","Rafta yirmi kitap görmedim, belki on beş kitap bile görmedim.",Rafta yirmi kitap görmedim ama on beş kitap gördüm.,Rafta on beşten az kitap gördüm.,Rafta en fazla on dört kitap gördüm.,Rafta en az bir tane kitap gördüm.
on beş-yirmi,Duvara on beş grafiti çizmişler.,Duvara yirmi grafiti çizmişler.,Duvara on beş grafiti çizmemişler.,Duvara yirmi grafiti çizmemişler.,Duvara on beşten fazla grafiti çizmemişler.,"Duvara on beş grafiti çizmişler, hatta yirmi grafiti çizmişler.","Duvara on beş grafiti çizmişler, belki de yirmi grafiti çizmişler.",Duvara on beş grafiti çizmişler ama yirmi grafiti çizmemişler.,"Duvara yirmi grafiti çizmemişler, hatta on beş grafiti bile çizmemişler.","Duvara yirmi grafiti çizmemişler, belki on beş grafiti bile çizmemişler.",Duvara yirmi grafiti çizmemişler ama on beş grafiti çizmişler.,Duvara on beşten az grafiti çizmişler.,Duvara en fazla on dört grafiti çizmişler.,Duvara en az bir tane grafiti çizmişler.
on beş-yirmi,Mutfakta on beş tabak kırdım.,Mutfakta yirmi tabak kırdım.,Mutfakta on beş tabak kırmadım.,Mutfakta yirmi tabak kırmadım.,Mutfakta on beşten fazla tabak kırmadım.,"Mutfakta on beş tabak kırdım, hatta yirmi tabak kırdım.","Mutfakta on beş tabak kırdım, belki de yirmi tabak kırdım.",Mutfakta on beş tabak kırdım ama yirmi tabak kırmadım.,"Mutfakta yirmi tabak kırmadım, hatta on beş tabak bile kırmadım.","Mutfakta yirmi tabak kırmadım, belki on beş tabak bile kırmadım.",Mutfakta yirmi tabak kırmadım ama on beş tabak kırdım.,Mutfakta on beşten az tabak kırdım.,Mutfakta en fazla on dört tabak kırdım.,Mutfakta en az bir tane tabak kırdım.
on beş-yirmi,Bahçede on beş ağacı suladım.,Bahçede yirmi ağacı suladım.,Bahçede on beş ağacı sulamadım.,Bahçede yirmi ağacı sulamadım.,Bahçede on beşten fazla ağacı sulamadım.,"Bahçede on beş ağacı suladım, hatta yirmi ağacı suladım.","Bahçede on beş ağacı suladım, belki de yirmi ağacı suladım.",Bahçede on beş ağacı suladım ama yirmi ağacı sulamadım.,"Bahçede yirmi ağacı sulamadım, hatta on beş ağacı bile sulamadım.","Bahçede yirmi ağacı sulamadım, belki on beş ağacı bile sulamadım.",Bahçede yirmi ağacı sulamadım ama on beş ağacı suladım.,Bahçede on beşten az ağacı suladım.,Bahçede en fazla on dört ağacı suladım.,Bahçede en az bir tane ağacı suladım.
on beş-yirmi,On beş bıçağı tezgahtan götürdüler.,Yirmi bıçağı tezgahtan götürdüler.,On beş bıçağı tezgahtan götürmediler.,Yirmi bıçağı tezgahtan götürmediler.,On beşten fazla bıçağı tezgahtan götürmediler.,"On beş bıçağı tezgahtan götürdüler, hatta yirmi bıçağı tezgahtan götürdüler.","On beş bıçağı tezgahtan götürdüler, belki de yirmi bıçağı tezgahtan götürdüler.",On beş bıçağı tezgahtan götürdüler ama yirmi bıçağı tezgahtan götürmediler.,"Yirmi bıçağı tezgahtan götürmediler, hatta on beş bıçağı tezgahtan götürmediler.","Yirmi bıçağı tezgahtan götürmediler, belki on beş bıçağı tezgahtan götürmediler.",Yirmi bıçağı tezgahtan götürmediler ama on beş bıçağı tezgahtan götürdüler.,On beşten az bıçağı tezgahtan götürdüler.,En fazla on dört bıçağı tezgahtan götürdüler.,En az bir tane bıçağı tezgahtan götürdüler.
on beş-yirmi,Salonda on beş misafir var.,Salonda yirmi misafir var.,Salonda on beş misafir yok.,Salonda yirmi misafir yok.,Salonda on beşten fazla misafir yok.,"Salonda on beş misafir var, hatta yirmi misafir var.","Salonda on beş misafir var, belki de yirmi misafir var.",Salonda on beş misafir var ama yirmi misafir yok.,"Salonda yirmi misafir yok, hatta on beş misafir bile yok.","Salonda yirmi misafir yok, belki on beş misafir bile yok.",Salonda yirmi misafir yok ama on beş misafir var.,Salonda on beşten az misafir var.,Salonda en fazla on dört misafir var.,Salonda en az bir tane misafir var.
on beş-yirmi,Kutudan on beş çivi getirmelisin.,Kutudan yirmi çivi getirmelisin.,Kutudan on beş çivi getirmemelisin.,Kutudan yirmi çivi getirmemelisin.,Kutudan on beşten fazla çivi getirmemelisin.,"Kutudan on beş çivi getirmelisin, hatta yirmi çivi getirmelisin.","Kutudan on beş çivi getirmelisin, belki de yirmi çivi getirmelisin.",Kutudan on beş çivi getirmelisin ama yirmi çivi getirmemelisin.,"Kutudan yirmi çivi getirmemelisin, hatta on beş çivi bile getirmemelisin.","Kutudan yirmi çivi getirmemelisin, belki on beş çivi bile getirmelisin.",Kutudan yirmi çivi getirmemelisin ama on beş çivi getirmelisin.,Kutudan on beşten az çivi getirmelisin.,Kutudan en fazla on dört çivi getirmelisin.,Kutudan en az bir tane çivi getirmelisin.
on beş-yirmi,Müzede on beş turist grubu vardı.,Müzede yirmi turist grubu vardı.,Müzede on beş turist grubu yoktu.,Müzede yirmi turist grubu yoktu.,Müzede on beşten fazla turist grubu yoktu.,"Müzede on beş turist grubu vardı, hatta yirmi turist grubu vardı.","Müzede on beş turist grubu vardı, belki de yirmi turist grubu vardı.",Müzede on beş turist grubu vardı ama yirmi turist grubu yoktu.,"Müzede yirmi turist grubu yoktu, hatta on beş turist grubu bile yoktu.","Müzede yirmi turist grubu yoktu, belki on beş turist grubu bile yoktu.",Müzede yirmi turist grubu yoktu ama on beş turist grubu vardı.,Müzede on beşten az turist grubu vardı.,Müzede en fazla on dört turist grubu vardı.,Müzede en az bir tane turist grubu vardı.
on beş-yirmi,Otelde on beş havuz var.,Otelde yirmi havuz var.,Otelde on beş havuz yok.,Otelde yirmi havuz yok.,Otelde on beşten fazla havuz yok.,"Otelde on beş havuz var, hatta yirmi havuz var.","Otelde on beş havuz var, belki de yirmi havuz var.",Otelde on beş havuz var ama yirmi havuz yok.,"Otelde yirmi havuz yok, hatta on beş havuz bile yok.","Otelde yirmi havuz yok, belki on beş havuz bile yok.",Otelde yirmi havuz yok ama on beş havuz var.,Otelde on beşten az havuz var.,Otelde en fazla on dört havuz var.,Otelde en az bir tane havuz var.
on beş-yirmi,Kampüste on beş barınak var.,Kampüste yirmi barınak var.,Kampüste on beş barınak yok.,Kampüste yirmi barınak yok.,Kampüste on beşten fazla barınak yok.,"Kampüste on beş barınak var, hatta yirmi barınak var.","Kampüste on beş barınak var, belki de yirmi barınak var.",Kampüste on beş barınak var ama yirmi barınak yok.,"Kampüste yirmi barınak yok, hatta on beş barınak bile yok.","Kampüste yirmi barınak yok, belki on beş barınak bile yok.",Kampüste yirmi barınak yok ama on beş barınak var.,Kampüste on beşten az barınak var.,Kampüste en fazla on dört barınak var.,Kampüste en az bir tane barınak var.
on beş-yirmi,Beyza on beş kitap yazmış.,Beyza yirmi kitap yazmış.,Beyza on beş kitap yazmamış.,Beyza yirmi kitap yazmamış.,Beyza on beşten fazla kitap yazmamış.,"Beyza on beş kitap yazmış, hatta yirmi kitap yazmış.","Beyza on beş kitap yazmış, belki de yirmi kitap yazmış.",Beyza on beş kitap yazmış ama yirmi kitap yazmamış.,"Beyza yirmi kitap yazmamış, hatta on beş kitap bile yazmamış.","Beyza yirmi kitap yazmamış, belki on beş kitap bile yazmamış.",Beyza yirmi kitap yazmamış ama on beş kitap yazmış.,Beyza on beşten az kitap yazmış.,Beyza en fazla on dört kitap yazmış.,Beyza en az bir tane kitap yazmış.
on beş-yirmi,Havaalanına giden on beş yol var.,Havaalanına giden yirmi yol var.,Havaalanına giden on beş yol yok.,Havaalanına giden yirmi yol yok.,Havaalanına giden on beşten fazla yol yok.,"Havaalanına giden on beş yol var, hatta yirmi yol var.","Havaalanına giden on beş yol var, belki de yirmi yol var.",Havaalanına giden on beş yol var ama yirmi yol yok.,"Havaalanına giden yirmi yol yok, hatta on beş yol bile yok.","Havaalanına giden yirmi yol yok, belki on beş yol bile yok.",Havaalanına giden yirmi yol yok ama on beş yol var.,Havaalanına giden on beşten az yol var.,Havaalanına giden en fazla on dört yol var.,Havaalanına giden en az bir tane yol var.
on beş-yirmi,Garajda on beş litre yağ var.,Garajda yirmi litre yağ var.,Garajda on beş litre yağ yok.,Garajda yirmi litre yağ yok.,Garajda on beşten fazla litre yağ yok.,"Garajda on beş litre yağ var, hatta yirmi litre yağ var.","Garajda on beş litre yağ var, belki de yirmi litre yağ var.",Garajda on beş litre yağ var ama yirmi litre yağ yok.,"Garajda yirmi litre yağ yok, hatta on beş litre yağ bile yok.","Garajda yirmi litre yağ yok, belki on beş litre yağ bile yok.",Garajda yirmi litre yağ yok ama on beş litre yağ var.,Garajda on beşten az litre yağ var.,Garajda en fazla on dört litre yağ var.,Garajda en az bir litre yağ var.
on beş-yirmi,Depodan on beş tane top çalmışlar.,Depodan yirmi tane top çalmışlar.,Depodan on beş tane top çalmamışlar.,Depodan yirmi tane top çalmamışlar.,Depodan on beşten fazla tane top çalmamışlar.,"Depodan on beş tane top çalmışlar, hatta yirmi tane top çalmışlar.","Depodan on beş tane top çalmışlar, belki de yirmi tane top çalmışlar.",Depodan on beş tane top çalmışlar ama yirmi tane top çalmamışlar.,"Depodan yirmi tane top çalmamışlar, hatta on beş tane top bile çalmamışlar.","Depodan yirmi tane top çalmamışlar, belki on beş tane top bile çalmamışlar.",Depodan yirmi tane top çalmamışlar ama on beş tane top çalmışlar.,Depodan on beşten az tane top çalmışlar.,Depodan en fazla on dört tane top çalmışlar.,Depodan en az bir tane top çalmışlar.
on beş-yirmi,Köyde on beş çocuk var.,Köyde yirmi çocuk var.,Köyde on beş çocuk yok.,Köyde yirmi çocuk yok.,Köyde on beşten fazla çocuk yok.,"Köyde on beş çocuk var, hatta yirmi çocuk var.","Köyde on beş çocuk var, belki de yirmi çocuk var.",Köyde on beş çocuk var ama yirmi çocuk yok.,"Köyde yirmi çocuk yok, hatta on beş çocuk bile yok.","Köyde yirmi çocuk yok, belki on beş çocuk bile yok.",Köyde yirmi çocuk yok ama on beş çocuk var.,Köyde on beşten az çocuk var.,Köyde en fazla on dört çocuk var.,Köyde en az bir tane çocuk var.
