scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
on beş-yirmi,Ali stadyumdaki hoparlörlerden on beşini bozmuş.,Ali stadyumdaki hoparlörlerden yirmi tanesini bozmuş.,Ali stadyumdaki hoparlörlerden on beşini bozmamış.,Ali stadyumdaki hoparlörlerden yirmi tanesini bozmamış.,Ali stadyumdaki hoparlörlerden on beşten fazlasını bozmamış.,"Ali stadyumdaki hoparlörlerden on beşini bozmuş, hatta yirmi tanesini bozmuş.","Ali stadyumdaki hoparlörlerden on beşini bozmuş, belki de yirmi tanesini bozmuş.",Ali stadyumdaki hoparlörlerden on beşini bozmuş ama yirmi tanesini bozmamış.,"Ali stadyumdaki hoparlörlerden yirmi tanesini bozmamış, hatta on beşini bile bozmamış.","Ali stadyumdaki hoparlörlerden yirmi tanesini bozmamış, belki on beşini bile bozmamış.",Ali stadyumdaki hoparlörlerden yirmi tanesini bozmamış ama on beşini bozmamış.,Ali stadyumdaki hoparlörlerden on beşinden azını bozmuş.,Ali stadyumdaki hoparlörlerden en fazla on dördünü bozmuş.,Ali stadyumdaki hoparlörlerden en az bir tanesini bozmuş.
on beş-yirmi,Adadaki ağaç türlerinden on beşi yerli.,Adadaki ağaç türlerinden yirmisi yerli.,Adadaki ağaç türlerinden on beşi yerli değil.,Adadaki ağaç türlerinden yirmisi yerli değil.,Adadaki ağaç türlerinden on beşten fazlası yerli değil.,"Adadaki ağaç türlerinden on beşi yerli, hatta yirmisi yerli.","Adadaki ağaç türlerinden on beşi yerli, belki de yirmisi yerli.",Adadaki ağaç türlerinden on beşi yerli ama yirmisi değil.,"Adadaki ağaç türlerinden yirmisi yerli değil, hatta on beşi bile yerli değil.","Adadaki ağaç türlerinden yirmisi yerli değil, belki on beşi bile yerli değil.",Adadaki ağaç türlerinden yirmisi yerli değil ama on beşi yerli.,Adadaki ağaç türlerinden on beşinden azı yerli.,Adadaki ağaç türlerinden en fazla on dördü yerli.,Adadaki ağaç türlerinden en az biri yerli.
on beş-yirmi,Fabrikadaki çalışanlardan on beşi kadın.,Fabrikadaki çalışanlardan yirmisi kadın.,Fabrikadaki çalışanlardan on beşi kadın değil.,Fabrikadaki çalışanlardan yirmisi kadın değil.,Fabrikadaki çalışanlardan on beşten fazlası kadın değil.,"Fabrikadaki çalışanlardan on beşi kadın, hatta yirmisi kadın.","Fabrikadaki çalışanlardan on beşi kadın, belki de yirmisi kadın.",Fabrikadaki çalışanlardan on beşi kadın ama yirmisi değil.,"Fabrikadaki çalışanlardan yirmisi kadın değil, hatta on beşi bile değil.","Fabrikadaki çalışanlardan yirmisi kadın değil, belki on beşi bile değil.",Fabrikadaki çalışanlardan yirmisi kadın değil ama on beşi kadın.,Fabrikadaki çalışanlardan on beşinden azı kadın.,Fabrikadaki çalışanlardan en fazla on dördü kadın.,Fabrikadaki çalışanlardan en az biri kadın.
on beş-yirmi,Aile üyelerinin on beşi yurtdışında.,Aile üyelerinin yirmisi yurtdışında.,Aile üyelerinin on beşi yurtdışında değil.,Aile üyelerinin yirmisi yurtdışında değil.,Aile üyelerinin on beşten fazlası yurtdışında değil.,"Aile üyelerinin on beşi yurtdışında, hatta yirmisi yurtdışında.","Aile üyelerinin on beşi yurtdışında, belki de yirmisi yurtdışında.",Aile üyelerinin on beşi yurtdışında ama yirmisi yurtdışında değil.,"Aile üyelerinin yirmisi yurtdışında değil, hatta on beşi bile yurtdışında değil.","Aile üyelerinin yirmisi yurtdışında değil, belki on beşi bile yurtdışında değil.",Aile üyelerinin yirmisi yurtdışında değil ama on beşi yurtdışında.,Aile üyelerinin on beşinden azı yurtdışında.,Aile üyelerinin en fazla on dördü yurtdışında.,Aile üyelerinin en az biri yurtdışında.
on beş-yirmi,Yastıklardan on beşini götürdü.,Yastıklardan yirmi tanesini götürdü.,Yastıklardan on beşini götürmedi.,Yastıklardan yirmi tanesini götürmedi.,Yastıklardan on beşten fazlasını götürmedi.,"Yastıklardan on beşini götürdü, hatta yirmi tanesini götürdü.","Yastıklardan on beşini götürdü, belki de yirmi tanesini götürdü.",Yastıklardan on beşini götürdü ama yirmi tanesini götürmedi.,"Yastıklardan yirmi tanesini götürmedi, hatta on beşini bile götürmedi.","Yastıklardan yirmi tanesini götürmedi, belki on beşini bile götürmedi.",Yastıklardan yirmi tanesini götürmedi ama on beşini götürdü.,Yastıklardan on beşinden azını götürdü.,Yastıklardan en fazla on dördünü götürdü.,Yastıklardan en az bir tanesini götürdü.
on yedi-yirmi dokuz,Sandalyelerin on yedisi kırık.,Sandalyelerin yirmi dokuzu kırık.,Sandalyelerin on yedisi kırık değil.,Sandalyelerin yirmi dokuzu kırık değil.,Sandalyelerin on yedisinden fazlası kırık değil.,"Sandalyelerin on yedisi kırık, hatta yirmi dokuzu kırık.","Sandalyelerin on yedisi kırık, belki de yirmi dokuzu kırık.",Sandalyelerin on yedisi kırık ama yirmi dokuzu kırık değil.,"Sandalyelerin yirmi dokuzu kırık değil, hatta on yedisi kırık değil.","Sandalyelerin yirmi dokuzu kırık değil, belki on yedisi kırık değil.",Sandalyelerin yirmi dokuzu kırık değil ama on yedisi kırık.,Sandalyelerin on yedisinden azı kırık.,Sandalyelerin en fazla on altısı kırık.,Sandalyelerin en az biri kırık.
on yedi-yirmi dokuz,Kutuların on yedisi boş.,Kutuların yirmi dokuzu boş.,Kutuların on yedisi boş değil.,Kutuların yirmi dokuzu boş değil.,Kutuların on yedisinden fazlası boş değil.,"Kutuların on yedisi boş, hatta yirmi dokuzu boş.","Kutuların on yedisi boş, belki de yirmi dokuzu boş.",Kutuların on yedisi boş ama yirmi dokuzu boş değil.,"Kutuların yirmi dokuzu boş değil, hatta on yedisi boş değil.","Kutuların yirmi dokuzu boş değil, belki on yedisi boş değil.",Kutuların yirmi dokuzu boş değil ama on yedisi boş.,Kutuların on yedisinden azı boş.,Kutuların en fazla on altısı boş.,Kutuların en az biri boş.
on yedi-yirmi dokuz,Köpeklerin on yedisi sokakta.,Köpeklerin yirmi dokuzu sokakta.,Köpeklerin on yedisi sokakta değil.,Köpeklerin yirmi dokuzu sokakta değil.,Köpeklerin on yedisinden fazlası sokakta değil.,"Köpeklerin on yedisi sokakta, hatta yirmi dokuzu sokakta.","Köpeklerin on yedisi sokakta, belki de yirmi dokuzu sokakta.",Köpeklerin on yedisi sokakta ama yirmi dokuzu sokakta değil.,"Köpeklerin yirmi dokuzu sokakta değil, hatta on yedisi sokakta değil.","Köpeklerin yirmi dokuzu sokakta değil, belki on yedisi sokakta değil.",Köpeklerin yirmi dokuzu sokakta değil ama on yedisi sokakta.,Köpeklerin on yedisinden azı sokakta.,Köpeklerin en fazla on altısı sokakta.,Köpeklerin en az biri sokakta.
on yedi-yirmi dokuz,Kadınlardan on yedisi çalışıyor.,Kadınlardan yirmi dokuzu çalışıyor.,Kadınlardan on yedisi çalışmıyor.,Kadınlardan yirmi dokuzu çalışmıyor.,Kadınlardan on yedisinden fazlası çalışmıyor.,"Kadınlardan on yedisi çalışıyor, hatta yirmi dokuzu çalışıyor.","Kadınlardan on yedisi çalışıyor, belki de yirmi dokuzu çalışıyor.",Kadınlardan on yedisi çalışıyor ama yirmi dokuzu çalışmıyor.,"Kadınlardan yirmi dokuzu çalışmıyor, hatta on yedisi çalışmıyor.","Kadınlardan yirmi dokuzu çalışmıyor, belki on yedisi çalışmıyor.",Kadınlardan yirmi dokuzu çalışmıyor ama on yedisi çalışıyor.,Kadınlardan on yedisinden azı çalışıyor.,Kadınlardan en fazla on altısı çalışıyor.,Kadınlardan en az biri çalışıyor.
on yedi-yirmi dokuz,Kurulun on yedi üyesi burada.,Kurulun yirmi dokuz üyesi burada.,Kurulun on yedi üyesi burada değil.,Kurulun yirmi dokuz üyesi burada değil.,Kurulun on yediden fazla üyesi burada değil.,"Kurulun on yedi üyesi burada, hatta yirmi dokuz üyesi burada.","Kurulun on yedi üyesi burada, belki de yirmi dokuz üyesi burada.",Kurulun on yedi üyesi burada ama yirmi dokuz üyesi burada değil.,"Kurulun yirmi dokuz üyesi burada değil, hatta on yedi üyesi bile burada değil.","Kurulun yirmi dokuz üyesi burada değil, belki on yedi üyesi bile burada değil.",Kurulun yirmi dokuz üyesi burada değil ama on yedi üyesi burada.,Kurulun on yediden azı burada.,Kurulun en fazla on altısı burada.,Kurulun en az biri burada.
on yedi-yirmi dokuz,Bisikletlerin on yedisi kırık.,Bisikletlerin yirmi dokuzu kırık.,Bisikletlerin on yedisi kırık değil.,Bisikletlerin yirmi dokuzu kırık değil.,Bisikletlerin on yediden fazlası kırık değil.,"Bisikletlerin on yedisi kırık, hatta yirmi dokuzu kırık.","Bisikletlerin on yedisi kırık, belki de yirmi dokuzu kırık.",Bisikletlerin on yedisi kırık ama yirmi dokuzu kırık değil.,"Bisikletlerin yirmi dokuzu kırık değil, hatta on yedisi bile kırık değil.","Bisikletlerin yirmi dokuzu kırık değil, belki on yedisi bile kırık değil.",Bisikletlerin yirmi dokuzu kırık değil ama on yedisi kırık.,Bisikletlerin on yediden azı kırık.,Bisikletlerin en fazla on altısı kırık.,Bisikletlerin en az biri kırık.
on yedi-yirmi dokuz,Binanın on yedi katını kiraya vermiş.,Binanın yirmi dokuz katını kiraya vermiş.,Binanın on yedi katını kiraya vermemiş.,Binanın yirmi dokuz katını kiraya vermemiş.,Binanın on yediden fazla katını kiraya vermemiş.,"Binanın on yedi katını kiraya vermiş, hatta yirmi dokuz katını kiraya vermiş.","Binanın on yedi katını kiraya vermiş, belki de yirmi dokuz katını kiraya vermiş.",Binanın on yedi katını kiraya vermiş ama yirmi dokuz katını kiraya vermemiş.,"Binanın yirmi dokuz katını kiraya vermemiş, hatta on yedi katını bile kiraya vermemiş.","Binanın yirmi dokuz katını kiraya vermemiş, belki on yedi katını bile kiraya vermemiş.",Binanın yirmi dokuz katını kiraya vermemiş ama on yedi katını kiraya vermiş.,Binanın on yedi kattan azını kiraya vermiş.,Binanın en fazla on altı katını kiraya vermiş.,Binanın en az bir katını kiraya vermiş.
on yedi-yirmi dokuz,Geminin on yedi katını gördüm.,Geminin yirmi dokuz katını gördüm.,Geminin on yedi katını görmedim.,Geminin yirmi dokuz katını görmedim.,Geminin on yediden fazla katını görmedim.,"Geminin on yedi katını gördüm, hatta yirmi dokuz katını gördüm.","Geminin on yedi katını gördüm, belki de yirmi dokuz katını gördüm.",Geminin on yedi katını gördüm ama yirmi dokuz katını görmedim.,"Geminin yirmi dokuz katını görmedim, hatta on yedi katını bile görmedim.","Geminin yirmi dokuz katını görmedim, belki on yedi katını bile görmedim.",Geminin yirmi dokuz katını görmedim ama on yedi katını gördüm.,Geminin on yediden azını gördüm.,Geminin en fazla on altısını gördüm.,Geminin en az birini gördüm.
on yedi-yirmi dokuz,Tellerin on yedisi eski.,Tellerin yirmi dokuzu eski.,Tellerin on yedisi eski değil.,Tellerin yirmi dokuzu eski değil.,Tellerin on yediden fazlası eski değil.,"Tellerin on yedisi eski, hatta yirmi dokuzu eski.","Tellerin on yedisi eski, belki de yirmi dokuzu eski.",Tellerin on yedisi eski ama yirmi dokuzu eski değil.,"Tellerin yirmi dokuzu eski değil, hatta on yedisi bile eski değil.","Tellerin yirmi dokuzu eski değil, belki on yedisi bile eski değil.",Tellerin yirmi dokuzu eski değil ama on yedisi eski.,Tellerin on yediden azı eski.,Tellerin en fazla on altısı eski.,Tellerin en az biri eski.
on yedi-yirmi dokuz,Köpeklerimizden on yedi tanesi hasta.,Köpeklerimizden yirmi dokuz tanesi hasta.,Köpeklerimizden on yedi tanesi hasta değil.,Köpeklerimizden yirmi dokuz tanesi hasta değil.,Köpeklerimizden on yediden fazlası hasta değil.,"Köpeklerimizden on yedi tanesi hasta, hatta yirmi dokuz tanesi hasta.","Köpeklerimizden on yedi tanesi hasta, belki de yirmi dokuz tanesi hasta.",Köpeklerimizden on yedi tanesi hasta ama yirmi dokuz tanesi hasta değil.,"Köpeklerimizden yirmi dokuz tanesi hasta değil, hatta on yedi tanesi bile hasta değil.","Köpeklerimizden yirmi dokuz tanesi hasta değil, belki on yedi tanesi bile hasta değil.",Köpeklerimizden yirmi dokuz tanesi hasta değil ama on yedi tanesi hasta.,Köpeklerimizden on yediden azı hasta.,Köpeklerimizden en fazla on altısı hasta.,Köpeklerimizden en az biri hasta.
yirmi dört-otuz altı,Rotalarınızın yirmi dördü bize uygun görünüyor.,Rotalarınızın otuz altısı bize uygun görünüyor.,Rotalarınızın yirmi dördü bize uygun görünmüyor.,Rotalarınızın otuz altısı bize uygun görünmüyor.,Rotalarınızın yirmi dördünden fazlası bize uygun görünmüyor.,"Rotalarınızın yirmi dördü bize uygun görünüyor, hatta otuz altısı bize uygun görünüyor.","Rotalarınızın yirmi dördü bize uygun görünüyor, belki de otuz altısı bize uygun görünüyor.",Rotalarınızın yirmi dördü bize uygun görünüyor ama otuz altısı bize uygun görünmüyor.,"Rotalarınızın otuz altısı bize uygun görünmüyor, hatta yirmi dördü bize uygun görünmüyor.","Rotalarınızın otuz altısı bize uygun görünmüyor, belki yirmi dördü bize uygun görünmüyor.",Rotalarınızın otuz altısı bize uygun görünmüyor ama yirmi dördü bize uygun görünüyor.,Rotalarınızın yirmi dördünden azı bize uygun görünüyor.,Rotalarınızın en fazla yirmi üçü bize uygun görünüyor.,Rotalarınızın en az biri bize uygun görünüyor.
yirmi dört-otuz altı,Masaların yirmi dördünün üstünde leke var.,Masaların otuz altısının üstünde leke var.,Masaların yirmi dördünün üstünde leke yok.,Masaların otuz altısının üstünde leke yok.,Masaların yirmi dördünden fazlasının üstünde leke yok.,"Masaların yirmi dördünün üstünde leke var, hatta otuz altısının üstünde leke var.","Masaların yirmi dördünün üstünde leke var, belki de otuz altısının üstünde leke var.",Masaların yirmi dördünün üstünde leke var ama otuz altısının üstünde leke yok.,"Masaların otuz altısının üstünde leke yok, hatta yirmi dördünün üstünde leke yok.","Masaların otuz altısının üstünde leke yok, belki yirmi dördünün üstünde leke yok.",Masaların otuz altısının üstünde leke yok ama yirmi dördünün üstünde leke var.,Masaların yirmi dördünden azının üstünde leke var.,Masaların en fazla yirmi üçünün üstünde leke var.,Masaların en az birinin üstünde leke var.
yirmi dört-otuz altı,Koltukların yirmi dördü yaylı.,Koltukların otuz altısı yaylı.,Koltukların yirmi dördü yaylı değil.,Koltukların otuz altısı yaylı değil.,Koltukların yirmi dördünden fazlası yaylı değil.,"Koltukların yirmi dördü yaylı, hatta otuz altısı yaylı.","Koltukların yirmi dördü yaylı, belki de otuz altısı yaylı.",Koltukların yirmi dördü yaylı ama otuz altısı yaylı değil.,"Koltukların otuz altısı yaylı değil, hatta yirmi dördü yaylı değil.","Koltukların otuz altısı yaylı değil, belki yirmi dördü yaylı değil.",Koltukların otuz altısı yaylı değil ama yirmi dördü yaylı.,Koltukların yirmi dördünden azı yaylı.,Koltukların en fazla yirmi üçü yaylı.,Koltukların en az biri yaylı.
yirmi dört-otuz altı,Tabloların yirmi dördü eski.,Tabloların otuz altısı eski.,Tabloların yirmi dördü eski değil.,Tabloların otuz altısı eski değil.,Tabloların yirmi dörtten fazlası eski değil.,"Tabloların yirmi dördü eski, hatta otuz altısı eski.","Tabloların yirmi dördü eski, belki de otuz altısı eski.",Tabloların yirmi dördü eski ama otuz altısı eski değil.,"Tabloların otuz altısı eski değil, hatta yirmi dördü bile eski değil.","Tabloların otuz altısı eski değil, belki yirmi dördü bile eski değil.",Tabloların otuz altısı eski değil ama yirmi dördü eski.,Tabloların yirmi dördünden azı eski.,Tabloların en fazla yirmi üçü eski.,Tabloların en az biri eski.
yirmi dört-otuz altı,Geçerli olan yirmi dört kart yanımda.,Geçerli olan otuz altı kart yanımda.,Geçerli olan yirmi dört kart yanımda değil.,Geçerli olan otuz altı kart yanımda değil.,Geçerli olan yirmi dörtten fazla kart yanımda değil.,"Geçerli olan yirmi dört kart yanımda, hatta otuz altı kart yanımda.","Geçerli olan yirmi dört kart yanımda, belki de otuz altı kart yanımda.",Geçerli olan yirmi dört kart yanımda ama otuz altı kart yanımda değil.,"Geçerli olan otuz altı kart yanımda değil, hatta yirmi dört kart bile yanımda değil.","Geçerli olan otuz altı kart yanımda değil, belki yirmi dört kart bile yanımda değil.",Geçerli olan otuz altı kart yanımda değil ama yirmi dört kart yanımda.,Geçerli olan yirmi dörtten az kart yanımda.,Geçerli olan en fazla yirmi üç kart yanımda.,Geçerli olan en az bir kart yanımda.
yirmi dört-otuz altı,Ebeveynlerin yirmi dört sorumluluğunu saydım.,Ebeveynlerin otuz altı sorumluluğunu saydım.,Ebeveynlerin yirmi dört sorumluluğunu saymadım.,Ebeveynlerin otuz altı sorumluluğunu saymadım.,Ebeveynlerin yirmi dörtten fazla sorumluluğunu saymadım.,"Ebeveynlerin yirmi dört sorumluluğunu saydım, hatta otuz altı sorumluluğunu saydım.","Ebeveynlerin yirmi dört sorumluluğunu saydım, belki de otuz altı sorumluluğunu saydım.",Ebeveynlerin yirmi dört sorumluluğunu saydım ama otuz altı sorumluluğunu saymadım.,"Ebeveynlerin otuz altı sorumluluğunu saymadım, hatta yirmi dört sorumluluğunu bile saymadım.","Ebeveynlerin otuz altı sorumluluğunu saymadım, belki yirmi dört sorumluluğunu bile saymadım.",Ebeveynlerin otuz altı sorumluluğunu saymadım ama yirmi dört sorumluluğunu saydım.,Ebeveynlerin yirmi dörtten az sorumluluğunu saydım.,Ebeveynlerin en fazla yirmi üç sorumluluğunu saydım.,Ebeveynlerin en az bir sorumluluğunu saydım.
yirmi dört-otuz altı,Satılan ayakkabılardan yirmi dört tane aldım.,Satılan ayakkabılardan otuz altı tane aldım.,Satılan ayakkabılardan yirmi dört tane almadım.,Satılan ayakkabılardan otuz altı tane almadım.,Satılan ayakkabılardan yirmi dörtten fazla tane almadım.,"Satılan ayakkabılardan yirmi dört tane aldım, hatta otuz altı tane aldım.","Satılan ayakkabılardan yirmi dört tane aldım, belki de otuz altı tane aldım.",Satılan ayakkabılardan yirmi dört tane aldım ama otuz altı tane almadım.,"Satılan ayakkabılardan otuz altı tane almadım, hatta yirmi dört tane bile almadım.","Satılan ayakkabılardan otuz altı tane almadım, belki yirmi dört tane bile almadım.",Satılan ayakkabılardan otuz altı tane almadım ama yirmi dört tane aldım.,Satılan ayakkabılardan yirmi dörtten az tane aldım.,Satılan ayakkabılardan en fazla yirmi üç tane aldım.,Satılan ayakkabılardan en az bir tane aldım.
yirmi dört-otuz altı,Menfaatlerinin yirmi dört tanesi benle ortak.,Menfaatlerinin otuz altısı benle ortak.,Menfaatlerinin yirmi dört tanesi benle ortak değil.,Menfaatlerinin otuz altısı benle ortak değil.,Menfaatlerinin yirmi dörtten fazlası benle ortak değil.,"Menfaatlerinin yirmi dört tanesi benle ortak, hatta otuz altısı benle ortak.","Menfaatlerinin yirmi dört tanesi benle ortak, belki de otuz altısı benle ortak.",Menfaatlerinin yirmi dört tanesi benle ortak ama otuz altısı benle ortak değil.,"Menfaatlerinin otuz altısı benle ortak değil, hatta yirmi dört tanesi bile benle ortak değil.","Menfaatlerinin otuz altısı benle ortak değil, belki yirmi dört tanesi bile benle ortak değil.",Menfaatlerinin otuz altısı benle ortak değil ama yirmi dört tanesi benle ortak.,Menfaatlerinin yirmi dörtten azı benle ortak.,Menfaatlerinin en fazla yirmi üçü benle ortak.,Menfaatlerinin en az biri benle ortak.
yirmi dört-otuz altı,Teşebbüste bulunan yirmi dört firma kapatıldı.,Teşebbüste bulunan otuz altı firma kapatıldı.,Teşebbüste bulunan yirmi dört firma kapatılmadı.,Teşebbüste bulunan otuz altı firma kapatılmadı.,Teşebbüste bulunan yirmi dörtten fazla firma kapatılmadı.,"Teşebbüste bulunan yirmi dört firma kapatıldı, hatta otuz altı firma kapatıldı.","Teşebbüste bulunan yirmi dört firma kapatıldı, belki de otuz altı firma kapatıldı.",Teşebbüste bulunan yirmi dört firma kapatıldı ama otuz altı firma kapatılmadı.,"Teşebbüste bulunan otuz altı firma kapatılmadı, hatta yirmi dört firma bile kapatılmadı.","Teşebbüste bulunan otuz altı firma kapatılmadı, belki yirmi dört firma bile kapatılmadı.",Teşebbüste bulunan otuz altı firma kapatılmadı ama yirmi dört firma kapatıldı.,Teşebbüste bulunan yirmi dörtten az firma kapatıldı.,Teşebbüste bulunan en fazla yirmi üç firma kapatıldı.,Teşebbüste bulunan en az bir firma kapatıldı.
yirmi dört-otuz altı,Albümden yirmi dört şarkı seçmiş.,Albümden otuz altı şarkı seçmiş.,Albümden yirmi dört şarkı seçmemiş.,Albümden otuz altı şarkı seçmemiş.,Albümden yirmi dörtten fazla şarkı seçmemiş.,"Albümden yirmi dört şarkı seçmiş, hatta otuz altı şarkı seçmiş.","Albümden yirmi dört şarkı seçmiş, belki de otuz altı şarkı seçmiş.",Albümden yirmi dört şarkı seçmiş ama otuz altı şarkı seçmemiş.,"Albümden otuz altı şarkı seçmemiş, hatta yirmi dört şarkı bile seçmemiş.","Albümden otuz altı şarkı seçmemiş, belki yirmi dört şarkı bile seçmemiş.",Albümden otuz altı şarkı seçmemiş ama yirmi dört şarkı seçmiş.,Albümden yirmi dörtten az şarkı seçmiş.,Albümden en fazla yirmi üç şarkı seçmiş.,Albümden en az bir şarkı seçmiş.
yirmi beş-kırk,Yemeklerin yirmi beşini tatma fırsatımız oldu.,Yemeklerin kırkını tatma fırsatımız oldu.,Yemeklerin yirmi beşini tatma fırsatımız olmadı.,Yemeklerin kırkını tatma fırsatımız olmadı.,Yemeklerin yirmi beşinden fazlasını tatma fırsatımız olmadı.,"Yemeklerin yirmi beşini tatma fırsatımız oldu, hatta kırkını tatma fırsatımız oldu.","Yemeklerin yirmi beşini tatma fırsatımız oldu, belki de kırkını tatma fırsatımız oldu.",Yemeklerin yirmi beşini tatma fırsatımız oldu ama kırkını tatma fırsatımız olmadı.,"Yemeklerin kırkını tatma fırsatımız olmadı, hatta yirmi beşini tatma fırsatımız olmadı.","Yemeklerin kırkını tatma fırsatımız olmadı, belki yirmi beşini tatma fırsatımız olmadı.",Yemeklerin kırkını tatma fırsatımız olmadı ama yirmi beşini tatma fırsatımız oldu.,Yemeklerin yirmi beşinden azını tatma fırsatımız oldu.,Yemeklerin en fazla yirmi dördünü tatma fırsatımız oldu.,Yemeklerin en az birini tatma fırsatımız oldu.
yirmi beş-kırk,Emekli amcaların yirmi beşi bankaya gitti.,Emekli amcaların kırkı bankaya gitti.,Emekli amcaların yirmi beşi bankaya gitmedi.,Emekli amcaların kırkı bankaya gitmedi.,Emekli amcaların yirmi beşinden fazlası bankaya gitmedi.,"Emekli amcaların yirmi beşi bankaya gitti, hatta kırkı bankaya gitti.","Emekli amcaların yirmi beşi bankaya gitti, belki de kırkı bankaya gitti.",Emekli amcaların yirmi beşi bankaya gitti ama kırkı bankaya gitmedi.,"Emekli amcaların kırkı bankaya gitmedi, hatta yirmi beşi bankaya gitmedi.","Emekli amcaların kırkı bankaya gitmedi, belki yirmi beşi bankaya gitmedi.",Emekli amcaların kırkı bankaya gitmedi ama yirmi beşi bankaya gitti.,Emekli amcaların yirmi beşinden azı bankaya gitti.,Emekli amcaların en fazla yirmi dördü bankaya gitti.,Emekli amcaların en az biri bankaya gitti.
yirmi beş-kırk,Kedilerin yirmi beşi evde bekliyor.,Kedilerin kırkı evde bekliyor.,Kedilerin yirmi beşi evde beklemiyor.,Kedilerin kırkı evde beklemiyor.,Kedilerin yirmi beşinden fazlası evde beklemiyor.,"Kedilerin yirmi beşi evde bekliyor, hatta kırkı evde bekliyor.","Kedilerin yirmi beşi evde bekliyor, belki de kırkı evde bekliyor.",Kedilerin yirmi beşi evde bekliyor ama kırkı evde beklemiyor.,"Kedilerin kırkı evde beklemiyor, hatta yirmi beşi evde beklemiyor.","Kedilerin kırkı evde beklemiyor, belki yirmi beşi evde beklemiyor.",Kedilerin kırkı evde beklemiyor ama yirmi beşi evde bekliyor.,Kedilerin yirmi beşinden azı evde bekliyor.,Kedilerin en fazla yirmi dördü evde bekliyor.,Kedilerin en az biri evde bekliyor.
yirmi beş-kırk,Uçaktaki koltukların yirmi beşi dolu.,Uçaktaki koltukların kırkı dolu.,Uçaktaki koltukların yirmi beşi boş.,Uçaktaki koltukların kırkı boş.,Uçaktaki koltukların yirmi beşinden fazlası boş.,"Uçaktaki koltukların yirmi beşi dolu, hatta kırkı dolu.","Uçaktaki koltukların yirmi beşi dolu, belki de kırkı dolu.",Uçaktaki koltukların yirmi beşi dolu ama kırkı boş.,"Uçaktaki koltukların kırkı boş, hatta yirmi beşi boş.","Uçaktaki koltukların kırkı boş, belki yirmi beşi boş.",Uçaktaki koltukların kırkı boş ama yirmi beşi dolu.,Uçaktaki koltukların yirmi beşinden azı dolu.,Uçaktaki koltukların en fazla yirmi dördü dolu.,Uçaktaki koltukların en az biri dolu.
yirmi beş-kırk,Tuşların yirmi beşi sorunlu.,Tuşların kırkı sorunlu.,Tuşların yirmi beşi sorunlu değil.,Tuşların kırkı sorunlu değil.,Tuşların yirmi beşinden fazlası sorunlu değil.,"Tuşların yirmi beşi sorunlu, hatta kırkı sorunlu.","Tuşların yirmi beşi sorunlu, belki de kırkı sorunlu.",Tuşların yirmi beşi sorunlu ama kırkı sorunlu değil.,"Tuşların kırkı sorunlu değil, hatta yirmi beşi sorunlu değil.","Tuşların kırkı sorunlu değil, belki yirmi beşi sorunlu değil.",Tuşların kırkı sorunlu değil ama yirmi beşi sorunlu.,Tuşların yirmi beşinden azı sorunlu.,Tuşların en fazla yirmi dördü sorunlu.,Tuşların en az biri sorunlu.
yirmi beş-kırk,Kibritlerin yirmi beşi yanmış.,Kibritlerin kırkı yanmış.,Kibritlerin yirmi beşi yanmamış.,Kibritlerin kırkı yanmamış.,Kibritlerin yirmi beşinden fazlası yanmamış.,"Kibritlerin yirmi beşi yanmış, hatta kırkı yanmış.","Kibritlerin yirmi beşi yanmış, belki de kırkı yanmış.",Kibritlerin yirmi beşi yanmış ama kırkı yanmamış.,"Kibritlerin kırkı yanmamış, hatta yirmi beşi yanmamış.","Kibritlerin kırkı yanmamış, belki yirmi beşi yanmamış.",Kibritlerin kırkı yanmamış ama yirmi beşi yanmış.,Kibritlerin yirmi beşinden azı yanmış.,Kibritlerin en fazla yirmi dördü yanmış.,Kibritlerin en az biri yanmış.
yirmi beş-kırk,Peçetelerin yirmi beşi yırtılmış.,Peçetelerin kırkı yırtılmış.,Peçetelerin yirmi beşi yırtılmamış.,Peçetelerin kırkı yırtılmamış.,Peçetelerin yirmi beşinden fazlası yırtılmamış.,"Peçetelerin yirmi beşi yırtılmış, hatta kırkı yırtılmış.","Peçetelerin yirmi beşi yırtılmış, belki de kırkı yırtılmış.",Peçetelerin yirmi beşi yırtılmış ama kırkı yırtılmamış.,"Peçetelerin kırkı yırtılmamış, hatta yirmi beşi yırtılmamış.","Peçetelerin kırkı yırtılmamış, belki yirmi beşi yırtılmamış.",Peçetelerin kırkı yırtılmamış ama yirmi beşi yırtılmış.,Peçetelerin yirmi beşinden azı yırtılmış.,Peçetelerin en fazla yirmi dördü yırtılmış.,Peçetelerin en az biri yırtılmış.
